Reference_Genome	source	accession	mpspades_detection	megahit_detection
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_28610700	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_37926107	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_42964164	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_43236830	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_46144984	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_38948064	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_38992134	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_33801118	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_50242259	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_45745384	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_17487857	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_46716923	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_33801118	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_25072513	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_42248141	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_46090355	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_46916006	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_32482723	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_46657628	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_34869511	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_39600742	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_38811554	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_46379324	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_49353342	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_41190825	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_2966222	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_50081142	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_37559121	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_26331853	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_46117819	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_260749	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_16016345	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_1376599	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_1376599	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_1691092	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_20_318736	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_1679331	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_60_35243908	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_47820551	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_46966157	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_36545459	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_46966157	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_36545459	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_46966157	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_9656843	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_46966157	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_49998383	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_46966157	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_50_41121764	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_47180265	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_48009128	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_47180265	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_40401347	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_45546281	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_47066381	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_44671659	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_18652475	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_36179638	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_38064516	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_5629705	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_1533502	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_48308893	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_901457	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_41121764	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_44893082	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_1707613	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_1707613	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_485459	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_1133075	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_60_37854025	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_37854025	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_34615298	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_45528842	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_43860624	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_47438302	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_26339670	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_45137676	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_22797614	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_35627178	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_48012518	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_49617209	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_50_48615281	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_50_50357541	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_50_37856910	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_50_38884420	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_50_48023202	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_36538115	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_36547073	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_222600	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_41616122	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_40509850	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_36180166	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_47764998	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_38857348	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_36537264	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_44750104	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_48667115	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_48511489	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_40_47852736	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_46738670	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_36429790	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_19028813	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_28098206	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_18669053	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_37864990	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_30_47522861	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_46079209	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_47935181	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_46176038	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_34870030	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_40348368	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_50203435	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_41561911	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_39198800	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_40675724	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_25_39442733	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_46860067	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_34870030	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_38536900	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_1772670	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_40629541	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_38729301	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_43168655	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_50350106	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_20_48663261	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_18901985	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_47611499	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_47999238	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_43280810	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_50350106	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_33701187	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_33854589	detected	detected
RNODE_479_length_5023_cov_17.63107	de novo	mmseqs_5_36064907	detected	detected
RNODE_235_length_2608_cov_55.03480	de novo	mmseqs_30_1218950	detected	detected
RNODE_133_length_1956_cov_5.95398	de novo	mmseqs_5_444097	detected	detected
RNODE_133_length_1956_cov_5.95398	de novo	mmseqs_90_713318	detected	detected
RNODE_133_length_1956_cov_5.95398	de novo	mmseqs_30_507615	detected	detected
RNODE_133_length_1956_cov_5.95398	de novo	mmseqs_5_646436	detected	detected
RNODE_481_length_3960_cov_68.08874	de novo	mmseqs_40_1391744	detected	detected
RNODE_481_length_3960_cov_68.08874	de novo	mmseqs_20_835629	detected	detected
RNODE_481_length_3960_cov_68.08874	de novo	mmseqs_5_1391744	detected	detected
RNODE_481_length_3960_cov_68.08874	de novo	mmseqs_30_1536531	detected	detected
RNODE_481_length_3960_cov_68.08874	de novo	mmseqs_25_1295867	detected	detected
RNODE_481_length_3960_cov_68.08874	de novo	mmseqs_20_42907537	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_60_1702041	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_40_40864357	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_30_1728155	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_25_225345	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_20_295888	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_20_1738433	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_5_295888	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_5_1738433	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_5_1739154	detected	detected
RNODE_563_length_5038_cov_7.26694	de novo	mmseqs_5_1233568	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_563026	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_46342420	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_1527424	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_417079	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_33063216	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1358278	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_781141	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1294674	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1548604	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_613045	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1719561	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1390213	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_33078982	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_41601684	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_781141	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_854268	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_37981240	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_49342877	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_40296934	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_115148	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_1114306	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_50356288	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_18886961	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_854268	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_48143756	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_1285579	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_431243	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_1393512	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_44501452	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_47177469	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_38505739	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_2932509	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_1172597	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_1729760	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_1300705	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_37551679	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_974212	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_40076193	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_34999586	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_47200001	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_60_1372323	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_37509398	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_35711489	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_45415003	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_34365566	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_47235203	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_32944930	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_36158946	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_45817959	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_47603304	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_41645328	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_43265953	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_2693008	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_40324627	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_25_28648447	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_44498015	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_48231996	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_37533122	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_43362128	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_40810609	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_46644144	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_20_18414502	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_45415003	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_37509557	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_48231996	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_34329871	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_37533122	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_38587143	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_50224356	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_37165037	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_48465401	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_5_39540821	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_60_1373096	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_60_5802464	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_1497216	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_48698349	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_1289832	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_47030592	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_2937455	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_47326386	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_1679927	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_86020	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_1736347	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_50_424327	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_1772654	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_49404687	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_46434505	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_86085	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_25664863	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_49352146	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_960844	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_1476786	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_45522655	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_39996573	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_700972	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_37018329	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_37261520	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_4405094	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_33039567	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_1604478	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_40_37699439	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1772654	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_1289832	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_105320	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_48379705	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_632930	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_38064467	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_28096709	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_33039567	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_37699439	detected	detected
RNODE_434_length_14801_cov_23.79494	de novo	mmseqs_30_43934841	detected	detected
