Target_Sequence	Num_Query_Sequences	Sample Number
RNODE_464_length_2364_cov_17.83117	1	0
RNODE_468_length_1541_cov_8.66960	1	0
RNODE_470_length_2095_cov_7.42232	1	0
RNODE_474_length_1569_cov_5.24895	1	0
RNODE_476_length_1618_cov_4.36943	1	0
RNODE_479_length_5023_cov_17.63107	1	0
RNODE_481_length_3960_cov_68.08874	1	0
RNODE_485_length_1877_cov_10.53943	1	0
RNODE_487_length_5196_cov_22.71473	6	0
RNODE_48_length_3658_cov_14.59323	1	0
RNODE_491_length_3124_cov_17.57383	1	0
RNODE_493_length_3152_cov_5.77526	1	0
RNODE_496_length_8599_cov_9.53327	1	0
RNODE_497_length_1925_cov_6.51336	1	0
RNODE_498_length_2044_cov_7.98216	1	0
RNODE_509_length_6803_cov_457.59293	1	0
RNODE_50_length_1796_cov_6.24352	1	0
RNODE_512_length_1592_cov_43.29688	1	0
RNODE_513_length_2330_cov_8.01964	1	0
RNODE_515_length_1754_cov_11.73892	1	0
RNODE_518_length_1369_cov_4.72490	1	0
RNODE_521_length_36130_cov_13.94678	1	0
RNODE_522_length_1263_cov_12.38809	1	0
RNODE_523_length_7269_cov_4.49610	1	0
RNODE_524_length_1679_cov_2.99128	1	0
RNODE_527_length_1767_cov_4.22840	1	0
RNODE_528_length_4221_cov_4.74329	20	0
RNODE_530_length_2571_cov_32.65278	2	0
RNODE_531_length_9868_cov_8.44904	1	0
RNODE_532_length_1573_cov_5.21419	1	0
RNODE_534_length_10183_cov_8.47628	1	0
RNODE_537_length_3389_cov_22.49108	1	0
RNODE_539_length_1827_cov_6.73752	1	0
RNODE_540_length_1564_cov_3.03735	1	0
RNODE_544_length_1578_cov_361.93923	1	0
RNODE_54_length_5865_cov_60.48297	3	0
RNODE_551_length_4193_cov_74.72016	1	0
RNODE_557_length_1525_cov_6.72562	1	0
RNODE_559_length_3361_cov_13.97064	3	0
RNODE_55_length_2901_cov_27.42654	1	0
RNODE_560_length_3911_cov_3.86563	1	0
RNODE_562_length_2033_cov_5.34232	1	0
RNODE_563_length_5038_cov_7.26694	1	0
RNODE_564_length_8758_cov_6.46781	1	0
RNODE_565_length_1563_cov_11.71995	1	0
RNODE_56_length_2028_cov_4.74177	1	0
RNODE_576_length_3043_cov_26.79081	1	0
RNODE_583_length_3095_cov_44.70980	1	0
RNODE_584_length_2761_cov_46.10439	1	0
RNODE_585_length_3212_cov_16.01628	1	0
RNODE_587_length_4088_cov_9.08425	1	0
RNODE_5_length_4125_cov_14.53571	1	0
RNODE_60_length_1811_cov_3.41811	1	0
RNODE_62_length_3589_cov_56.75862	1	0
RNODE_65_length_5443_cov_3.51540	1	0
RNODE_67_length_1419_cov_2.86686	1	0
RNODE_68_length_2493_cov_6.03116	1	0
RNODE_73_length_2194_cov_7.49125	1	0
RNODE_74_length_1811_cov_7.67971	13	0
RNODE_78_length_5103_cov_8.24306	1	0
RNODE_89_length_4251_cov_3.70418	1	0
RNODE_90_length_1469_cov_9.25017	1	0
RNODE_91_length_2298_cov_6.78822	1	0
RNODE_93_length_1501_cov_3.34415	1	0
RNODE_94_length_3002_cov_6.48725	1	0
RNODE_98_length_2627_cov_21.08829	1	0
RNODE_100_length_1999_cov_6.33080	1	1
RNODE_107_length_1496_cov_161.33989	1	1
RNODE_108_length_2015_cov_7.02007	1	1
RNODE_109_length_1521_cov_3.43229	1	1
RNODE_10_length_6468_cov_8.06035	1	1
RNODE_110_length_1672_cov_10.73939	1	1
RNODE_114_length_10406_cov_5.47746	1	1
RNODE_122_length_6709_cov_4.03320	1	1
RNODE_125_length_3363_cov_4.82640	1	1
RNODE_126_length_3157_cov_3.75885	1	1
RNODE_133_length_1956_cov_5.95398	4	1
RNODE_134_length_2327_cov_32.11800	1	1
RNODE_137_length_1431_cov_4.57559	1	1
RNODE_139_length_3589_cov_11.15335	1	1
RNODE_142_length_2406_cov_5.09941	1	1
RNODE_146_length_5606_cov_4.42067	1	1
RNODE_147_length_1816_cov_3.48216	1	1
RNODE_149_length_1949_cov_4.19357	1	1
RNODE_14_length_1961_cov_5.54358	1	1
RNODE_150_length_1379_cov_3.97642	1	1
RNODE_154_length_1869_cov_12.27991	1	1
RNODE_156_length_3948_cov_63.43887	1	1
RNODE_158_length_1640_cov_4.51607	1	1
RNODE_159_length_3592_cov_2.43025	1	1
RNODE_166_length_2298_cov_14.88049	1	1
RNODE_171_length_3474_cov_9.39716	2	1
RNODE_173_length_1764_cov_3.34845	1	1
RNODE_17_length_1254_cov_4.43994	1	1
RNODE_180_length_2647_cov_2.76800	1	1
RNODE_18_length_1746_cov_2.65719	1	1
RNODE_193_length_1789_cov_7.19864	1	1
RNODE_200_length_4574_cov_2.94178	1	1
RNODE_205_length_1591_cov_9.63735	1	1
RNODE_207_length_2195_cov_3.75886	1	1
RNODE_218_length_1465_cov_7.29868	1	1
RNODE_220_length_2011_cov_9.40825	1	1
RNODE_224_length_2083_cov_4.45463	1	1
RNODE_225_length_25884_cov_6.69550	1	1
RNODE_227_length_4381_cov_5.48337	1	1
RNODE_228_length_3093_cov_6.42006	1	1
RNODE_229_length_2135_cov_3.06673	1	1
RNODE_234_length_1595_cov_9.13223	1	1
RNODE_243_length_1453_cov_2.63382	1	1
RNODE_248_length_5318_cov_4.74604	1	1
RNODE_24_length_2639_cov_14.02331	1	1
RNODE_251_length_2763_cov_28.99562	1	1
RNODE_254_length_2341_cov_33.31005	1	1
RNODE_258_length_1627_cov_2.34517	1	1
RNODE_259_length_1574_cov_100.84149	2	1
RNODE_25_length_1750_cov_3.28993	1	1
RNODE_263_length_2277_cov_8.44168	1	1
RNODE_266_length_6653_cov_7.97753	1	1
RNODE_277_length_1592_cov_15.82548	1	1
RNODE_279_length_3658_cov_27.56711	1	1
RNODE_283_length_5699_cov_25.39792	1	1
RNODE_290_length_1262_cov_19.53548	3	1
RNODE_294_length_6942_cov_7.24595	2	1
RNODE_307_length_2104_cov_13.21902	1	1
RNODE_308_length_1875_cov_5.96654	1	1
RNODE_309_length_1659_cov_3.16188	1	1
RNODE_311_length_2760_cov_6.45983	1	1
RNODE_314_length_6164_cov_50.81211	1	1
RNODE_315_length_1516_cov_8.44846	1	1
RNODE_318_length_3470_cov_3.16589	1	1
RNODE_31_length_1357_cov_12.09363	1	1
RNODE_320_length_4859_cov_4.38495	1	1
RNODE_322_length_4175_cov_18.22923	1	1
RNODE_324_length_1537_cov_10.20528	1	1
RNODE_32_length_11742_cov_6.79514	1	1
RNODE_338_length_1509_cov_4.27236	1	1
RNODE_339_length_1478_cov_5.31250	1	1
RNODE_341_length_3219_cov_3.63466	1	1
RNODE_342_length_1543_cov_10.88823	1	1
RNODE_343_length_2376_cov_8.77188	1	1
RNODE_346_length_1757_cov_2.65187	1	1
RNODE_350_length_2314_cov_37.19546	1	1
RNODE_355_length_1663_cov_6.12066	1	1
RNODE_359_length_13543_cov_22.66711	1	1
RNODE_360_length_7414_cov_9.06737	1	1
RNODE_361_length_3164_cov_8.88447	1	1
RNODE_362_length_3387_cov_8.21902	2	1
RNODE_364_length_1571_cov_3.81278	1	1
RNODE_367_length_2322_cov_4.57652	1	1
RNODE_368_length_1901_cov_5.06386	1	1
RNODE_372_length_2448_cov_3.45466	1	1
RNODE_381_length_1819_cov_13.04118	1	1
RNODE_383_length_2253_cov_7.64097	3	1
RNODE_386_length_2437_cov_8.66377	1	1
RNODE_38_length_1552_cov_8.47059	1	1
RNODE_390_length_5825_cov_8.78167	1	1
RNODE_392_length_2136_cov_7.00284	1	1
RNODE_393_length_3465_cov_6.98635	1	1
RNODE_394_length_3642_cov_5.12873	1	1
RNODE_396_length_4766_cov_5.16589	1	1
RNODE_404_length_3462_cov_2.92616	1	1
RNODE_408_length_3585_cov_3.79764	1	1
RNODE_411_length_4317_cov_4.49267	1	1
RNODE_415_length_2147_cov_6.45506	1	1
RNODE_417_length_2670_cov_14.84403	1	1
RNODE_418_length_1505_cov_4.15172	1	1
RNODE_420_length_1334_cov_5.52134	1	1
RNODE_428_length_4686_cov_43.92415	1	1
RNODE_429_length_2129_cov_51.99106	1	1
RNODE_431_length_1803_cov_5.36772	1	1
RNODE_432_length_14865_cov_28.53268	1	1
RNODE_434_length_14801_cov_23.79494	2	1
RNODE_435_length_5602_cov_25.16136	1	1
RNODE_436_length_6429_cov_48.44919	1	1
RNODE_442_length_4465_cov_7.11694	1	1
RNODE_443_length_1591_cov_6.87251	1	1
RNODE_444_length_4937_cov_48.00188	1	1
RNODE_451_length_4052_cov_6.62773	1	1
RNODE_456_length_1695_cov_36.79753	1	1
RNODE_462_length_1528_cov_6.07822	1	1
RNODE_464_length_2364_cov_17.83117	1	1
RNODE_468_length_1541_cov_8.66960	3	1
RNODE_470_length_2095_cov_7.42232	1	1
RNODE_474_length_1569_cov_5.24895	1	1
RNODE_476_length_1618_cov_4.36943	1	1
RNODE_479_length_5023_cov_17.63107	2	1
RNODE_481_length_3960_cov_68.08874	1	1
RNODE_485_length_1877_cov_10.53943	1	1
RNODE_487_length_5196_cov_22.71473	1	1
RNODE_491_length_3124_cov_17.57383	1	1
RNODE_496_length_8599_cov_9.53327	1	1
RNODE_497_length_1925_cov_6.51336	1	1
RNODE_498_length_2044_cov_7.98216	1	1
RNODE_509_length_6803_cov_457.59293	1	1
RNODE_50_length_1796_cov_6.24352	1	1
RNODE_512_length_1592_cov_43.29688	1	1
RNODE_513_length_2330_cov_8.01964	1	1
RNODE_515_length_1754_cov_11.73892	1	1
RNODE_521_length_36130_cov_13.94678	1	1
RNODE_522_length_1263_cov_12.38809	1	1
RNODE_523_length_7269_cov_4.49610	2	1
RNODE_527_length_1767_cov_4.22840	1	1
RNODE_528_length_4221_cov_4.74329	1	1
RNODE_530_length_2571_cov_32.65278	1	1
RNODE_531_length_9868_cov_8.44904	1	1
RNODE_532_length_1573_cov_5.21419	1	1
RNODE_534_length_10183_cov_8.47628	1	1
RNODE_539_length_1827_cov_6.73752	1	1
RNODE_540_length_1564_cov_3.03735	1	1
RNODE_544_length_1578_cov_361.93923	1	1
RNODE_54_length_5865_cov_60.48297	1	1
RNODE_551_length_4193_cov_74.72016	1	1
RNODE_557_length_1525_cov_6.72562	1	1
RNODE_559_length_3361_cov_13.97064	1	1
RNODE_560_length_3911_cov_3.86563	1	1
RNODE_562_length_2033_cov_5.34232	1	1
RNODE_563_length_5038_cov_7.26694	1	1
RNODE_565_length_1563_cov_11.71995	1	1
RNODE_56_length_2028_cov_4.74177	1	1
RNODE_576_length_3043_cov_26.79081	1	1
RNODE_583_length_3095_cov_44.70980	1	1
RNODE_584_length_2761_cov_46.10439	1	1
RNODE_585_length_3212_cov_16.01628	1	1
RNODE_587_length_4088_cov_9.08425	1	1
RNODE_5_length_4125_cov_14.53571	1	1
RNODE_60_length_1811_cov_3.41811	3	1
RNODE_62_length_3589_cov_56.75862	2	1
RNODE_65_length_5443_cov_3.51540	1	1
RNODE_67_length_1419_cov_2.86686	1	1
RNODE_73_length_2194_cov_7.49125	1	1
RNODE_74_length_1811_cov_7.67971	1	1
RNODE_78_length_5103_cov_8.24306	1	1
RNODE_90_length_1469_cov_9.25017	1	1
RNODE_93_length_1501_cov_3.34415	1	1
RNODE_94_length_3002_cov_6.48725	1	1
RNODE_98_length_2627_cov_21.08829	1	1
RNODE_100_length_1999_cov_6.33080	1	2
RNODE_107_length_1496_cov_161.33989	1	2
RNODE_108_length_2015_cov_7.02007	1	2
RNODE_109_length_1521_cov_3.43229	1	2
RNODE_10_length_6468_cov_8.06035	1	2
RNODE_110_length_1672_cov_10.73939	1	2
RNODE_114_length_10406_cov_5.47746	1	2
RNODE_122_length_6709_cov_4.03320	2	2
RNODE_125_length_3363_cov_4.82640	1	2
RNODE_126_length_3157_cov_3.75885	1	2
RNODE_127_length_1885_cov_8.56361	1	2
RNODE_133_length_1956_cov_5.95398	1	2
RNODE_134_length_2327_cov_32.11800	1	2
RNODE_137_length_1431_cov_4.57559	1	2
RNODE_139_length_3589_cov_11.15335	1	2
RNODE_142_length_2406_cov_5.09941	1	2
RNODE_146_length_5606_cov_4.42067	8	2
RNODE_147_length_1816_cov_3.48216	1	2
RNODE_149_length_1949_cov_4.19357	1	2
RNODE_14_length_1961_cov_5.54358	1	2
RNODE_150_length_1379_cov_3.97642	1	2
RNODE_156_length_3948_cov_63.43887	1	2
RNODE_158_length_1640_cov_4.51607	1	2
RNODE_159_length_3592_cov_2.43025	1	2
RNODE_166_length_2298_cov_14.88049	1	2
RNODE_171_length_3474_cov_9.39716	1	2
RNODE_17_length_1254_cov_4.43994	1	2
RNODE_180_length_2647_cov_2.76800	1	2
RNODE_18_length_1746_cov_2.65719	1	2
RNODE_193_length_1789_cov_7.19864	1	2
RNODE_200_length_4574_cov_2.94178	1	2
RNODE_205_length_1591_cov_9.63735	1	2
RNODE_218_length_1465_cov_7.29868	1	2
RNODE_220_length_2011_cov_9.40825	1	2
RNODE_224_length_2083_cov_4.45463	1	2
RNODE_225_length_25884_cov_6.69550	1	2
RNODE_227_length_4381_cov_5.48337	1	2
RNODE_228_length_3093_cov_6.42006	3	2
RNODE_229_length_2135_cov_3.06673	1	2
RNODE_234_length_1595_cov_9.13223	1	2
RNODE_243_length_1453_cov_2.63382	1	2
RNODE_248_length_5318_cov_4.74604	1	2
RNODE_24_length_2639_cov_14.02331	1	2
RNODE_251_length_2763_cov_28.99562	1	2
RNODE_254_length_2341_cov_33.31005	1	2
RNODE_258_length_1627_cov_2.34517	1	2
RNODE_259_length_1574_cov_100.84149	1	2
RNODE_25_length_1750_cov_3.28993	1	2
RNODE_263_length_2277_cov_8.44168	1	2
RNODE_265_length_1287_cov_4.20553	1	2
RNODE_266_length_6653_cov_7.97753	1	2
RNODE_277_length_1592_cov_15.82548	3	2
RNODE_279_length_3658_cov_27.56711	1	2
RNODE_290_length_1262_cov_19.53548	1	2
RNODE_291_length_2033_cov_2.59025	1	2
RNODE_294_length_6942_cov_7.24595	1	2
RNODE_307_length_2104_cov_13.21902	1	2
RNODE_308_length_1875_cov_5.96654	2	2
RNODE_309_length_1659_cov_3.16188	1	2
RNODE_311_length_2760_cov_6.45983	2	2
RNODE_314_length_6164_cov_50.81211	2	2
RNODE_315_length_1516_cov_8.44846	1	2
RNODE_318_length_3470_cov_3.16589	1	2
RNODE_320_length_4859_cov_4.38495	1	2
RNODE_322_length_4175_cov_18.22923	1	2
RNODE_324_length_1537_cov_10.20528	1	2
RNODE_32_length_11742_cov_6.79514	1	2
RNODE_336_length_3563_cov_7.20249	1	2
RNODE_337_length_8771_cov_5.18162	2	2
RNODE_338_length_1509_cov_4.27236	1	2
RNODE_339_length_1478_cov_5.31250	1	2
RNODE_33_length_1778_cov_2.60592	1	2
RNODE_341_length_3219_cov_3.63466	1	2
RNODE_342_length_1543_cov_10.88823	1	2
RNODE_343_length_2376_cov_8.77188	1	2
RNODE_346_length_1757_cov_2.65187	1	2
RNODE_350_length_2314_cov_37.19546	1	2
RNODE_355_length_1663_cov_6.12066	1	2
RNODE_359_length_13543_cov_22.66711	1	2
RNODE_360_length_7414_cov_9.06737	1	2
RNODE_361_length_3164_cov_8.88447	1	2
RNODE_362_length_3387_cov_8.21902	1	2
RNODE_364_length_1571_cov_3.81278	1	2
RNODE_366_length_2053_cov_8.47415	1	2
RNODE_367_length_2322_cov_4.57652	1	2
RNODE_368_length_1901_cov_5.06386	1	2
RNODE_372_length_2448_cov_3.45466	1	2
RNODE_383_length_2253_cov_7.64097	1	2
RNODE_386_length_2437_cov_8.66377	1	2
RNODE_38_length_1552_cov_8.47059	1	2
RNODE_390_length_5825_cov_8.78167	1	2
RNODE_392_length_2136_cov_7.00284	1	2
RNODE_393_length_3465_cov_6.98635	1	2
RNODE_394_length_3642_cov_5.12873	1	2
RNODE_396_length_4766_cov_5.16589	1	2
RNODE_404_length_3462_cov_2.92616	1	2
RNODE_411_length_4317_cov_4.49267	1	2
RNODE_415_length_2147_cov_6.45506	1	2
RNODE_417_length_2670_cov_14.84403	1	2
RNODE_420_length_1334_cov_5.52134	1	2
RNODE_423_length_1943_cov_28.57781	1	2
RNODE_428_length_4686_cov_43.92415	2	2
RNODE_429_length_2129_cov_51.99106	1	2
RNODE_431_length_1803_cov_5.36772	2	2
RNODE_432_length_14865_cov_28.53268	1	2
RNODE_434_length_14801_cov_23.79494	1	2
RNODE_435_length_5602_cov_25.16136	2	2
RNODE_439_length_4196_cov_56.49278	1	2
RNODE_440_length_3551_cov_9.74435	3	2
RNODE_442_length_4465_cov_7.11694	1	2
RNODE_443_length_1591_cov_6.87251	1	2
RNODE_444_length_4937_cov_48.00188	1	2
RNODE_451_length_4052_cov_6.62773	1	2
RNODE_455_length_4124_cov_9.17267	1	2
RNODE_456_length_1695_cov_36.79753	1	2
RNODE_459_length_2383_cov_4.68776	1	2
RNODE_462_length_1528_cov_6.07822	1	2
RNODE_464_length_2364_cov_17.83117	1	2
RNODE_468_length_1541_cov_8.66960	1	2
RNODE_470_length_2095_cov_7.42232	1	2
RNODE_474_length_1569_cov_5.24895	1	2
RNODE_479_length_5023_cov_17.63107	1	2
RNODE_481_length_3960_cov_68.08874	1	2
RNODE_485_length_1877_cov_10.53943	1	2
RNODE_487_length_5196_cov_22.71473	2	2
RNODE_48_length_3658_cov_14.59323	1	2
RNODE_491_length_3124_cov_17.57383	5	2
RNODE_493_length_3152_cov_5.77526	1	2
RNODE_496_length_8599_cov_9.53327	1	2
RNODE_497_length_1925_cov_6.51336	1	2
RNODE_498_length_2044_cov_7.98216	1	2
RNODE_50_length_1796_cov_6.24352	1	2
RNODE_513_length_2330_cov_8.01964	1	2
RNODE_515_length_1754_cov_11.73892	1	2
RNODE_518_length_1369_cov_4.72490	2	2
RNODE_521_length_36130_cov_13.94678	1	2
RNODE_522_length_1263_cov_12.38809	1	2
RNODE_524_length_1679_cov_2.99128	1	2
RNODE_528_length_4221_cov_4.74329	1	2
RNODE_530_length_2571_cov_32.65278	1	2
RNODE_531_length_9868_cov_8.44904	1	2
RNODE_532_length_1573_cov_5.21419	1	2
RNODE_534_length_10183_cov_8.47628	1	2
RNODE_537_length_3389_cov_22.49108	1	2
RNODE_539_length_1827_cov_6.73752	1	2
RNODE_540_length_1564_cov_3.03735	1	2
RNODE_544_length_1578_cov_361.93923	1	2
RNODE_54_length_5865_cov_60.48297	1	2
RNODE_557_length_1525_cov_6.72562	1	2
RNODE_559_length_3361_cov_13.97064	1	2
RNODE_55_length_2901_cov_27.42654	1	2
RNODE_562_length_2033_cov_5.34232	1	2
RNODE_563_length_5038_cov_7.26694	1	2
RNODE_565_length_1563_cov_11.71995	1	2
RNODE_56_length_2028_cov_4.74177	1	2
RNODE_576_length_3043_cov_26.79081	1	2
RNODE_583_length_3095_cov_44.70980	1	2
RNODE_584_length_2761_cov_46.10439	1	2
RNODE_585_length_3212_cov_16.01628	1	2
RNODE_5_length_4125_cov_14.53571	1	2
RNODE_60_length_1811_cov_3.41811	2	2
RNODE_65_length_5443_cov_3.51540	1	2
RNODE_67_length_1419_cov_2.86686	1	2
RNODE_68_length_2493_cov_6.03116	1	2
RNODE_73_length_2194_cov_7.49125	1	2
RNODE_74_length_1811_cov_7.67971	20	2
RNODE_89_length_4251_cov_3.70418	1	2
RNODE_90_length_1469_cov_9.25017	1	2
RNODE_91_length_2298_cov_6.78822	1	2
RNODE_93_length_1501_cov_3.34415	1	2
RNODE_98_length_2627_cov_21.08829	1	2
RNODE_100_length_1999_cov_6.33080	1	3
RNODE_107_length_1496_cov_161.33989	1	3
RNODE_108_length_2015_cov_7.02007	1	3
RNODE_109_length_1521_cov_3.43229	1	3
RNODE_10_length_6468_cov_8.06035	1	3
RNODE_110_length_1672_cov_10.73939	1	3
RNODE_114_length_10406_cov_5.47746	1	3
RNODE_122_length_6709_cov_4.03320	8	3
RNODE_125_length_3363_cov_4.82640	1	3
RNODE_126_length_3157_cov_3.75885	1	3
RNODE_127_length_1885_cov_8.56361	1	3
RNODE_133_length_1956_cov_5.95398	1	3
RNODE_134_length_2327_cov_32.11800	1	3
RNODE_137_length_1431_cov_4.57559	1	3
RNODE_139_length_3589_cov_11.15335	1	3
RNODE_142_length_2406_cov_5.09941	1	3
RNODE_146_length_5606_cov_4.42067	1	3
RNODE_147_length_1816_cov_3.48216	1	3
RNODE_149_length_1949_cov_4.19357	1	3
RNODE_14_length_1961_cov_5.54358	1	3
RNODE_150_length_1379_cov_3.97642	1	3
RNODE_154_length_1869_cov_12.27991	1	3
RNODE_156_length_3948_cov_63.43887	1	3
RNODE_158_length_1640_cov_4.51607	1	3
RNODE_159_length_3592_cov_2.43025	1	3
RNODE_166_length_2298_cov_14.88049	2	3
RNODE_171_length_3474_cov_9.39716	1	3
RNODE_173_length_1764_cov_3.34845	1	3
RNODE_17_length_1254_cov_4.43994	1	3
RNODE_180_length_2647_cov_2.76800	1	3
RNODE_18_length_1746_cov_2.65719	1	3
RNODE_193_length_1789_cov_7.19864	1	3
RNODE_200_length_4574_cov_2.94178	1	3
RNODE_205_length_1591_cov_9.63735	1	3
RNODE_207_length_2195_cov_3.75886	1	3
RNODE_218_length_1465_cov_7.29868	1	3
RNODE_220_length_2011_cov_9.40825	1	3
RNODE_224_length_2083_cov_4.45463	1	3
RNODE_225_length_25884_cov_6.69550	1	3
RNODE_227_length_4381_cov_5.48337	1	3
