classifier	assembler	sample	reference_genome	total_contigs	correctly_predicted_contigs	missed_contigs	coverage_ratio
DMC	megahit	0	RNODE_468_length_1541_cov_8.66960	1	0	1	0.0
DMC	megahit	0	RNODE_372_length_2448_cov_3.45466	1	1	0	1.0
DMC	megahit	0	RNODE_31_length_1357_cov_12.09363	1	1	0	1.0
DMC	megahit	0	RNODE_320_length_4859_cov_4.38495	1	1	0	1.0
DMC	megahit	0	RNODE_73_length_2194_cov_7.49125	1	1	0	1.0
DMC	megahit	0	RNODE_156_length_3948_cov_63.43887	1	1	0	1.0
DMC	megahit	0	RNODE_362_length_3387_cov_8.21902	1	1	0	1.0
DMC	megahit	0	RNODE_396_length_4766_cov_5.16589	1	1	0	1.0
DMC	megahit	0	RNODE_263_length_2277_cov_8.44168	1	1	0	1.0
DMC	megahit	0	RNODE_509_length_6803_cov_457.59293	1	1	0	1.0
DMC	megahit	0	RNODE_576_length_3043_cov_26.79081	1	1	0	1.0
DMC	megahit	0	RNODE_308_length_1875_cov_5.96654	1	0	1	0.0
DMC	megahit	0	RNODE_38_length_1552_cov_8.47059	1	1	0	1.0
DMC	megahit	0	RNODE_360_length_7414_cov_9.06737	1	1	0	1.0
DMC	megahit	0	RNODE_585_length_3212_cov_16.01628	1	1	0	1.0
DMC	megahit	0	RNODE_496_length_8599_cov_9.53327	1	0	1	0.0
DMC	megahit	0	RNODE_442_length_4465_cov_7.11694	1	1	0	1.0
DMC	megahit	0	RNODE_227_length_4381_cov_5.48337	2	2	0	1.0
DMC	megahit	0	RNODE_583_length_3095_cov_44.70980	1	0	1	0.0
DMC	megahit	0	RNODE_228_length_3093_cov_6.42006	2	1	1	0.5
DMC	megahit	0	RNODE_109_length_1521_cov_3.43229	1	1	0	1.0
DMC	megahit	0	RNODE_512_length_1592_cov_43.29688	1	1	0	1.0
DMC	megahit	0	RNODE_346_length_1757_cov_2.65187	1	1	0	1.0
DMC	megahit	0	RNODE_309_length_1659_cov_3.16188	1	1	0	1.0
DMC	megahit	0	RNODE_537_length_3389_cov_22.49108	1	1	0	1.0
DMC	megahit	0	RNODE_107_length_1496_cov_161.33989	1	1	0	1.0
DMC	megahit	0	RNODE_139_length_3589_cov_11.15335	1	1	0	1.0
DMC	megahit	0	RNODE_279_length_3658_cov_27.56711	1	1	0	1.0
DMC	megahit	0	RNODE_122_length_6709_cov_4.03320	2	1	1	0.5
DMC	megahit	0	RNODE_5_length_4125_cov_14.53571	1	1	0	1.0
DMC	megahit	0	RNODE_464_length_2364_cov_17.83117	1	1	0	1.0
DMC	megahit	0	RNODE_498_length_2044_cov_7.98216	1	1	0	1.0
DMC	megahit	0	RNODE_527_length_1767_cov_4.22840	1	1	0	1.0
DMC	megahit	0	RNODE_225_length_25884_cov_6.69550	2	1	1	0.5
DMC	megahit	0	RNODE_98_length_2627_cov_21.08829	1	1	0	1.0
DMC	megahit	0	RNODE_54_length_5865_cov_60.48297	3	2	1	0.6666666666666666
DMC	megahit	0	RNODE_110_length_1672_cov_10.73939	1	0	1	0.0
DMC	megahit	0	RNODE_497_length_1925_cov_6.51336	1	0	1	0.0
DMC	megahit	0	RNODE_315_length_1516_cov_8.44846	1	1	0	1.0
DMC	megahit	0	RNODE_400_length_5708_cov_9.81991	1	1	0	1.0
DMC	megahit	0	RNODE_56_length_2028_cov_4.74177	1	1	0	1.0
DMC	megahit	0	RNODE_116_length_4192_cov_3.28201	1	1	0	1.0
DMC	megahit	0	RNODE_524_length_1679_cov_2.99128	1	0	1	0.0
DMC	megahit	0	RNODE_551_length_4193_cov_74.72016	1	1	0	1.0
DMC	megahit	0	RNODE_563_length_5038_cov_7.26694	1	1	0	1.0
DMC	megahit	0	RNODE_559_length_3361_cov_13.97064	3	1	2	0.3333333333333333
DMC	megahit	0	RNODE_243_length_1453_cov_2.63382	1	1	0	1.0
DMC	megahit	0	RNODE_560_length_3911_cov_3.86563	1	1	0	1.0
DMC	megahit	0	RNODE_220_length_2011_cov_9.40825	1	1	0	1.0
DMC	megahit	0	RNODE_534_length_10183_cov_8.47628	1	1	0	1.0
DMC	megahit	0	RNODE_439_length_4196_cov_56.49278	1	1	0	1.0
DMC	megahit	0	RNODE_584_length_2761_cov_46.10439	1	1	0	1.0
DMC	megahit	0	RNODE_234_length_1595_cov_9.13223	1	1	0	1.0
DMC	megahit	0	RNODE_374_length_1862_cov_9.75489	1	1	0	1.0
DMC	megahit	0	RNODE_513_length_2330_cov_8.01964	1	0	1	0.0
DMC	megahit	0	RNODE_322_length_4175_cov_18.22923	1	1	0	1.0
DMC	megahit	0	RNODE_235_length_2608_cov_55.03480	1	1	0	1.0
DMC	megahit	0	RNODE_434_length_14801_cov_23.79494	1	1	0	1.0
DMC	megahit	0	RNODE_455_length_4124_cov_9.17267	1	1	0	1.0
DMC	megahit	0	RNODE_491_length_3124_cov_17.57383	1	1	0	1.0
DMC	megahit	0	RNODE_324_length_1537_cov_10.20528	1	0	1	0.0
DMC	megahit	0	RNODE_493_length_3152_cov_5.77526	1	1	0	1.0
DMC	megahit	0	RNODE_428_length_4686_cov_43.92415	1	1	0	1.0
DMC	megahit	0	RNODE_361_length_3164_cov_8.88447	1	1	0	1.0
DMC	megahit	0	RNODE_283_length_5699_cov_25.39792	1	1	0	1.0
DMC	megahit	0	RNODE_62_length_3589_cov_56.75862	1	1	0	1.0
DMC	megahit	0	RNODE_94_length_3002_cov_6.48725	1	1	0	1.0
DMC	megahit	0	RNODE_565_length_1563_cov_11.71995	1	1	0	1.0
DMC	megahit	1	RNODE_562_length_2033_cov_5.34232	1	1	0	1.0
DMC	megahit	1	RNODE_125_length_3363_cov_4.82640	1	1	0	1.0
DMC	megahit	1	RNODE_193_length_1789_cov_7.19864	1	1	0	1.0
DMC	megahit	1	RNODE_415_length_2147_cov_6.45506	1	1	0	1.0
DMC	megahit	1	RNODE_65_length_5443_cov_3.51540	1	1	0	1.0
DMC	megahit	1	RNODE_133_length_1956_cov_5.95398	4	2	2	0.5
DMC	megahit	1	RNODE_50_length_1796_cov_6.24352	1	1	0	1.0
DMC	megahit	1	RNODE_479_length_5023_cov_17.63107	2	1	1	0.5
DMC	megahit	1	RNODE_381_length_1819_cov_13.04118	1	1	0	1.0
DMC	megahit	1	RNODE_429_length_2129_cov_51.99106	1	1	0	1.0
DMC	megahit	1	RNODE_355_length_1663_cov_6.12066	1	1	0	1.0
DMC	megahit	1	RNODE_254_length_2341_cov_33.31005	1	0	1	0.0
DMC	megahit	1	RNODE_200_length_4574_cov_2.94178	1	1	0	1.0
DMC	megahit	1	RNODE_487_length_5196_cov_22.71473	1	1	0	1.0
DMC	megahit	1	RNODE_474_length_1569_cov_5.24895	1	1	0	1.0
DMC	megahit	1	RNODE_74_length_1811_cov_7.67971	1	1	0	1.0
DMC	megahit	1	RNODE_318_length_3470_cov_3.16589	1	1	0	1.0
DMC	megahit	1	RNODE_383_length_2253_cov_7.64097	3	1	2	0.3333333333333333
DMC	megahit	1	RNODE_146_length_5606_cov_4.42067	1	1	0	1.0
DMC	megahit	1	RNODE_171_length_3474_cov_9.39716	2	1	1	0.5
DMC	megahit	1	RNODE_481_length_3960_cov_68.08874	1	1	0	1.0
DMC	megahit	1	RNODE_342_length_1543_cov_10.88823	1	1	0	1.0
DMC	megahit	1	RNODE_32_length_11742_cov_6.79514	1	0	1	0.0
DMC	megahit	1	RNODE_205_length_1591_cov_9.63735	1	0	1	0.0
DMC	megahit	1	RNODE_307_length_2104_cov_13.21902	1	1	0	1.0
DMC	megahit	1	RNODE_420_length_1334_cov_5.52134	1	0	1	0.0
DMC	megahit	1	RNODE_311_length_2760_cov_6.45983	1	1	0	1.0
DMC	megahit	1	RNODE_444_length_4937_cov_48.00188	1	1	0	1.0
DMC	megahit	1	RNODE_251_length_2763_cov_28.99562	1	1	0	1.0
DMC	megahit	1	RNODE_149_length_1949_cov_4.19357	1	1	0	1.0
DMC	megahit	1	RNODE_411_length_4317_cov_4.49267	1	1	0	1.0
DMC	megahit	1	RNODE_435_length_5602_cov_25.16136	1	1	0	1.0
DMC	megahit	1	RNODE_93_length_1501_cov_3.34415	1	1	0	1.0
DMC	megahit	1	RNODE_258_length_1627_cov_2.34517	1	1	0	1.0
DMC	megahit	1	RNODE_277_length_1592_cov_15.82548	1	1	0	1.0
DMC	megahit	1	RNODE_468_length_1541_cov_8.66960	3	0	3	0.0
DMC	megahit	1	RNODE_372_length_2448_cov_3.45466	1	1	0	1.0
DMC	megahit	1	RNODE_31_length_1357_cov_12.09363	1	1	0	1.0
DMC	megahit	1	RNODE_320_length_4859_cov_4.38495	1	1	0	1.0
DMC	megahit	1	RNODE_73_length_2194_cov_7.49125	1	1	0	1.0
DMC	megahit	1	RNODE_156_length_3948_cov_63.43887	1	1	0	1.0
DMC	megahit	1	RNODE_362_length_3387_cov_8.21902	2	1	1	0.5
DMC	megahit	1	RNODE_396_length_4766_cov_5.16589	1	0	1	0.0
DMC	megahit	1	RNODE_263_length_2277_cov_8.44168	1	1	0	1.0
DMC	megahit	1	RNODE_509_length_6803_cov_457.59293	1	1	0	1.0
DMC	megahit	1	RNODE_576_length_3043_cov_26.79081	1	1	0	1.0
DMC	megahit	1	RNODE_308_length_1875_cov_5.96654	1	0	1	0.0
DMC	megahit	1	RNODE_38_length_1552_cov_8.47059	1	1	0	1.0
DMC	megahit	1	RNODE_360_length_7414_cov_9.06737	1	1	0	1.0
DMC	megahit	1	RNODE_585_length_3212_cov_16.01628	1	1	0	1.0
DMC	megahit	1	RNODE_496_length_8599_cov_9.53327	1	0	1	0.0
DMC	megahit	1	RNODE_442_length_4465_cov_7.11694	1	1	0	1.0
DMC	megahit	1	RNODE_227_length_4381_cov_5.48337	1	1	0	1.0
DMC	megahit	1	RNODE_583_length_3095_cov_44.70980	1	1	0	1.0
DMC	megahit	1	RNODE_228_length_3093_cov_6.42006	1	1	0	1.0
DMC	megahit	1	RNODE_109_length_1521_cov_3.43229	1	0	1	0.0
DMC	megahit	1	RNODE_512_length_1592_cov_43.29688	1	1	0	1.0
DMC	megahit	1	RNODE_346_length_1757_cov_2.65187	1	1	0	1.0
DMC	megahit	1	RNODE_309_length_1659_cov_3.16188	1	1	0	1.0
DMC	megahit	1	RNODE_107_length_1496_cov_161.33989	1	1	0	1.0
DMC	megahit	1	RNODE_139_length_3589_cov_11.15335	1	1	0	1.0
DMC	megahit	1	RNODE_279_length_3658_cov_27.56711	1	1	0	1.0
DMC	megahit	1	RNODE_122_length_6709_cov_4.03320	1	1	0	1.0
DMC	megahit	1	RNODE_5_length_4125_cov_14.53571	1	1	0	1.0
DMC	megahit	1	RNODE_464_length_2364_cov_17.83117	1	1	0	1.0
DMC	megahit	1	RNODE_498_length_2044_cov_7.98216	1	1	0	1.0
DMC	megahit	1	RNODE_527_length_1767_cov_4.22840	1	1	0	1.0
DMC	megahit	1	RNODE_225_length_25884_cov_6.69550	1	1	0	1.0
DMC	megahit	1	RNODE_98_length_2627_cov_21.08829	1	1	0	1.0
DMC	megahit	1	RNODE_54_length_5865_cov_60.48297	1	1	0	1.0
DMC	megahit	1	RNODE_110_length_1672_cov_10.73939	1	0	1	0.0
DMC	megahit	1	RNODE_497_length_1925_cov_6.51336	1	0	1	0.0
DMC	megahit	1	RNODE_315_length_1516_cov_8.44846	1	1	0	1.0
DMC	megahit	1	RNODE_56_length_2028_cov_4.74177	1	1	0	1.0
DMC	megahit	1	RNODE_551_length_4193_cov_74.72016	1	1	0	1.0
DMC	megahit	1	RNODE_563_length_5038_cov_7.26694	1	1	0	1.0
DMC	megahit	1	RNODE_559_length_3361_cov_13.97064	1	1	0	1.0
DMC	megahit	1	RNODE_243_length_1453_cov_2.63382	1	1	0	1.0
DMC	megahit	1	RNODE_560_length_3911_cov_3.86563	1	1	0	1.0
DMC	megahit	1	RNODE_220_length_2011_cov_9.40825	1	1	0	1.0
DMC	megahit	1	RNODE_534_length_10183_cov_8.47628	1	1	0	1.0
DMC	megahit	1	RNODE_584_length_2761_cov_46.10439	1	1	0	1.0
DMC	megahit	1	RNODE_234_length_1595_cov_9.13223	1	1	0	1.0
DMC	megahit	1	RNODE_513_length_2330_cov_8.01964	1	0	1	0.0
DMC	megahit	1	RNODE_322_length_4175_cov_18.22923	1	1	0	1.0
DMC	megahit	1	RNODE_434_length_14801_cov_23.79494	2	2	0	1.0
DMC	megahit	1	RNODE_491_length_3124_cov_17.57383	1	1	0	1.0
DMC	megahit	1	RNODE_324_length_1537_cov_10.20528	1	1	0	1.0
DMC	megahit	1	RNODE_428_length_4686_cov_43.92415	1	1	0	1.0
DMC	megahit	1	RNODE_361_length_3164_cov_8.88447	1	1	0	1.0
DMC	megahit	1	RNODE_283_length_5699_cov_25.39792	1	1	0	1.0
DMC	megahit	1	RNODE_62_length_3589_cov_56.75862	2	2	0	1.0
DMC	megahit	1	RNODE_94_length_3002_cov_6.48725	1	1	0	1.0
DMC	megahit	1	RNODE_565_length_1563_cov_11.71995	1	1	0	1.0
DMC	megahit	2	RNODE_562_length_2033_cov_5.34232	1	1	0	1.0
DMC	megahit	2	RNODE_125_length_3363_cov_4.82640	1	1	0	1.0
DMC	megahit	2	RNODE_193_length_1789_cov_7.19864	1	0	1	0.0
DMC	megahit	2	RNODE_415_length_2147_cov_6.45506	1	1	0	1.0
DMC	megahit	2	RNODE_65_length_5443_cov_3.51540	1	1	0	1.0
DMC	megahit	2	RNODE_133_length_1956_cov_5.95398	1	1	0	1.0
DMC	megahit	2	RNODE_50_length_1796_cov_6.24352	1	1	0	1.0
DMC	megahit	2	RNODE_479_length_5023_cov_17.63107	1	1	0	1.0
DMC	megahit	2	RNODE_429_length_2129_cov_51.99106	1	1	0	1.0
DMC	megahit	2	RNODE_355_length_1663_cov_6.12066	1	1	0	1.0
DMC	megahit	2	RNODE_254_length_2341_cov_33.31005	1	1	0	1.0
DMC	megahit	2	RNODE_200_length_4574_cov_2.94178	1	1	0	1.0
DMC	megahit	2	RNODE_48_length_3658_cov_14.59323	1	1	0	1.0
DMC	megahit	2	RNODE_487_length_5196_cov_22.71473	2	1	1	0.5
DMC	megahit	2	RNODE_474_length_1569_cov_5.24895	1	0	1	0.0
DMC	megahit	2	RNODE_74_length_1811_cov_7.67971	20	2	18	0.1
DMC	megahit	2	RNODE_318_length_3470_cov_3.16589	1	1	0	1.0
DMC	megahit	2	RNODE_383_length_2253_cov_7.64097	1	1	0	1.0
DMC	megahit	2	RNODE_336_length_3563_cov_7.20249	1	1	0	1.0
DMC	megahit	2	RNODE_146_length_5606_cov_4.42067	8	1	7	0.125
DMC	megahit	2	RNODE_171_length_3474_cov_9.39716	1	1	0	1.0
DMC	megahit	2	RNODE_481_length_3960_cov_68.08874	1	1	0	1.0
DMC	megahit	2	RNODE_342_length_1543_cov_10.88823	1	1	0	1.0
DMC	megahit	2	RNODE_32_length_11742_cov_6.79514	1	0	1	0.0
DMC	megahit	2	RNODE_205_length_1591_cov_9.63735	1	1	0	1.0
DMC	megahit	2	RNODE_307_length_2104_cov_13.21902	1	1	0	1.0
DMC	megahit	2	RNODE_420_length_1334_cov_5.52134	1	0	1	0.0
DMC	megahit	2	RNODE_311_length_2760_cov_6.45983	2	1	1	0.5
DMC	megahit	2	RNODE_444_length_4937_cov_48.00188	1	1	0	1.0
DMC	megahit	2	RNODE_440_length_3551_cov_9.74435	3	1	2	0.3333333333333333
DMC	megahit	2	RNODE_251_length_2763_cov_28.99562	1	1	0	1.0
DMC	megahit	2	RNODE_149_length_1949_cov_4.19357	1	1	0	1.0
DMC	megahit	2	RNODE_411_length_4317_cov_4.49267	1	1	0	1.0
DMC	megahit	2	RNODE_435_length_5602_cov_25.16136	2	2	0	1.0
DMC	megahit	2	RNODE_459_length_2383_cov_4.68776	1	1	0	1.0
DMC	megahit	2	RNODE_93_length_1501_cov_3.34415	1	0	1	0.0
DMC	megahit	2	RNODE_258_length_1627_cov_2.34517	1	0	1	0.0
DMC	megahit	2	RNODE_277_length_1592_cov_15.82548	3	0	3	0.0
DMC	megahit	2	RNODE_423_length_1943_cov_28.57781	1	1	0	1.0
DMC	megahit	2	RNODE_468_length_1541_cov_8.66960	1	1	0	1.0
DMC	megahit	2	RNODE_372_length_2448_cov_3.45466	1	1	0	1.0
DMC	megahit	2	RNODE_320_length_4859_cov_4.38495	1	1	0	1.0
DMC	megahit	2	RNODE_73_length_2194_cov_7.49125	1	1	0	1.0
DMC	megahit	2	RNODE_156_length_3948_cov_63.43887	1	1	0	1.0
DMC	megahit	2	RNODE_362_length_3387_cov_8.21902	1	1	0	1.0
DMC	megahit	2	RNODE_396_length_4766_cov_5.16589	1	1	0	1.0
DMC	megahit	2	RNODE_263_length_2277_cov_8.44168	1	0	1	0.0
DMC	megahit	2	RNODE_576_length_3043_cov_26.79081	1	1	0	1.0
DMC	megahit	2	RNODE_308_length_1875_cov_5.96654	2	1	1	0.5
DMC	megahit	2	RNODE_38_length_1552_cov_8.47059	1	1	0	1.0
DMC	megahit	2	RNODE_360_length_7414_cov_9.06737	1	1	0	1.0
DMC	megahit	2	RNODE_585_length_3212_cov_16.01628	1	1	0	1.0
DMC	megahit	2	RNODE_496_length_8599_cov_9.53327	1	0	1	0.0
DMC	megahit	2	RNODE_442_length_4465_cov_7.11694	1	1	0	1.0
DMC	megahit	2	RNODE_227_length_4381_cov_5.48337	1	1	0	1.0
DMC	megahit	2	RNODE_583_length_3095_cov_44.70980	1	1	0	1.0
DMC	megahit	2	RNODE_228_length_3093_cov_6.42006	3	1	2	0.3333333333333333
DMC	megahit	2	RNODE_109_length_1521_cov_3.43229	1	1	0	1.0
DMC	megahit	2	RNODE_346_length_1757_cov_2.65187	1	1	0	1.0
DMC	megahit	2	RNODE_309_length_1659_cov_3.16188	1	1	0	1.0
DMC	megahit	2	RNODE_537_length_3389_cov_22.49108	1	1	0	1.0
DMC	megahit	2	RNODE_107_length_1496_cov_161.33989	1	1	0	1.0
DMC	megahit	2	RNODE_139_length_3589_cov_11.15335	1	1	0	1.0
DMC	megahit	2	RNODE_279_length_3658_cov_27.56711	1	1	0	1.0
DMC	megahit	2	RNODE_122_length_6709_cov_4.03320	2	1	1	0.5
DMC	megahit	2	RNODE_5_length_4125_cov_14.53571	1	1	0	1.0
DMC	megahit	2	RNODE_464_length_2364_cov_17.83117	1	1	0	1.0
DMC	megahit	2	RNODE_498_length_2044_cov_7.98216	1	1	0	1.0
DMC	megahit	2	RNODE_225_length_25884_cov_6.69550	1	1	0	1.0
DMC	megahit	2	RNODE_98_length_2627_cov_21.08829	1	1	0	1.0
DMC	megahit	2	RNODE_54_length_5865_cov_60.48297	1	1	0	1.0
DMC	megahit	2	RNODE_110_length_1672_cov_10.73939	1	1	0	1.0
DMC	megahit	2	RNODE_497_length_1925_cov_6.51336	1	0	1	0.0
DMC	megahit	2	RNODE_315_length_1516_cov_8.44846	1	1	0	1.0
DMC	megahit	2	RNODE_56_length_2028_cov_4.74177	1	1	0	1.0
DMC	megahit	2	RNODE_524_length_1679_cov_2.99128	1	1	0	1.0
DMC	megahit	2	RNODE_563_length_5038_cov_7.26694	1	1	0	1.0
DMC	megahit	2	RNODE_559_length_3361_cov_13.97064	1	1	0	1.0
DMC	megahit	2	RNODE_243_length_1453_cov_2.63382	1	1	0	1.0
DMC	megahit	2	RNODE_220_length_2011_cov_9.40825	1	0	1	0.0
DMC	megahit	2	RNODE_534_length_10183_cov_8.47628	1	1	0	1.0
DMC	megahit	2	RNODE_439_length_4196_cov_56.49278	1	1	0	1.0
DMC	megahit	2	RNODE_584_length_2761_cov_46.10439	1	1	0	1.0
DMC	megahit	2	RNODE_234_length_1595_cov_9.13223	1	0	1	0.0
DMC	megahit	2	RNODE_513_length_2330_cov_8.01964	1	0	1	0.0
DMC	megahit	2	RNODE_322_length_4175_cov_18.22923	1	1	0	1.0
DMC	megahit	2	RNODE_434_length_14801_cov_23.79494	1	1	0	1.0
DMC	megahit	2	RNODE_455_length_4124_cov_9.17267	1	1	0	1.0
DMC	megahit	2	RNODE_491_length_3124_cov_17.57383	5	1	4	0.2
DMC	megahit	2	RNODE_324_length_1537_cov_10.20528	1	1	0	1.0
DMC	megahit	2	RNODE_493_length_3152_cov_5.77526	1	1	0	1.0
DMC	megahit	2	RNODE_428_length_4686_cov_43.92415	2	2	0	1.0
DMC	megahit	2	RNODE_361_length_3164_cov_8.88447	1	1	0	1.0
DMC	megahit	2	RNODE_565_length_1563_cov_11.71995	1	1	0	1.0
DMC	megahit	3	RNODE_562_length_2033_cov_5.34232	1	1	0	1.0
DMC	megahit	3	RNODE_125_length_3363_cov_4.82640	1	1	0	1.0
DMC	megahit	3	RNODE_193_length_1789_cov_7.19864	1	0	1	0.0
DMC	megahit	3	RNODE_415_length_2147_cov_6.45506	1	1	0	1.0
DMC	megahit	3	RNODE_65_length_5443_cov_3.51540	1	1	0	1.0
DMC	megahit	3	RNODE_133_length_1956_cov_5.95398	1	1	0	1.0
DMC	megahit	3	RNODE_50_length_1796_cov_6.24352	1	1	0	1.0
DMC	megahit	3	RNODE_479_length_5023_cov_17.63107	1	1	0	1.0
DMC	megahit	3	RNODE_381_length_1819_cov_13.04118	1	1	0	1.0
DMC	megahit	3	RNODE_429_length_2129_cov_51.99106	1	1	0	1.0
DMC	megahit	3	RNODE_355_length_1663_cov_6.12066	1	1	0	1.0
DMC	megahit	3	RNODE_254_length_2341_cov_33.31005	1	1	0	1.0
DMC	megahit	3	RNODE_200_length_4574_cov_2.94178	1	1	0	1.0
DMC	megahit	3	RNODE_48_length_3658_cov_14.59323	5	4	1	0.8
DMC	megahit	3	RNODE_487_length_5196_cov_22.71473	1	1	0	1.0
DMC	megahit	3	RNODE_74_length_1811_cov_7.67971	33	1	32	0.030303030303030304
DMC	megahit	3	RNODE_318_length_3470_cov_3.16589	1	1	0	1.0
DMC	megahit	3	RNODE_383_length_2253_cov_7.64097	1	1	0	1.0
DMC	megahit	3	RNODE_336_length_3563_cov_7.20249	1	1	0	1.0
DMC	megahit	3	RNODE_146_length_5606_cov_4.42067	1	1	0	1.0
DMC	megahit	3	RNODE_171_length_3474_cov_9.39716	1	0	1	0.0
DMC	megahit	3	RNODE_481_length_3960_cov_68.08874	1	1	0	1.0
DMC	megahit	3	RNODE_342_length_1543_cov_10.88823	1	1	0	1.0
DMC	megahit	3	RNODE_32_length_11742_cov_6.79514	7	0	7	0.0
DMC	megahit	3	RNODE_205_length_1591_cov_9.63735	1	0	1	0.0
DMC	megahit	3	RNODE_307_length_2104_cov_13.21902	1	1	0	1.0
DMC	megahit	3	RNODE_420_length_1334_cov_5.52134	1	1	0	1.0
DMC	megahit	3	RNODE_311_length_2760_cov_6.45983	1	1	0	1.0
DMC	megahit	3	RNODE_444_length_4937_cov_48.00188	1	1	0	1.0
DMC	megahit	3	RNODE_440_length_3551_cov_9.74435	2	1	1	0.5
DMC	megahit	3	RNODE_251_length_2763_cov_28.99562	4	1	3	0.25
DMC	megahit	3	RNODE_149_length_1949_cov_4.19357	1	1	0	1.0
DMC	megahit	3	RNODE_411_length_4317_cov_4.49267	1	1	0	1.0
DMC	megahit	3	RNODE_435_length_5602_cov_25.16136	2	2	0	1.0
DMC	megahit	3	RNODE_459_length_2383_cov_4.68776	1	1	0	1.0
DMC	megahit	3	RNODE_93_length_1501_cov_3.34415	1	1	0	1.0
DMC	megahit	3	RNODE_258_length_1627_cov_2.34517	1	0	1	0.0
DMC	megahit	3	RNODE_277_length_1592_cov_15.82548	7	2	5	0.2857142857142857
DMC	megahit	3	RNODE_423_length_1943_cov_28.57781	1	1	0	1.0
DMC	megahit	3	RNODE_468_length_1541_cov_8.66960	1	0	1	0.0
DMC	megahit	3	RNODE_372_length_2448_cov_3.45466	1	1	0	1.0
DMC	megahit	3	RNODE_31_length_1357_cov_12.09363	1	1	0	1.0
DMC	megahit	3	RNODE_320_length_4859_cov_4.38495	1	1	0	1.0
DMC	megahit	3	RNODE_73_length_2194_cov_7.49125	1	1	0	1.0
DMC	megahit	3	RNODE_156_length_3948_cov_63.43887	1	1	0	1.0
DMC	megahit	3	RNODE_362_length_3387_cov_8.21902	1	1	0	1.0
DMC	megahit	3	RNODE_396_length_4766_cov_5.16589	1	1	0	1.0
DMC	megahit	3	RNODE_263_length_2277_cov_8.44168	1	1	0	1.0
DMC	megahit	3	RNODE_576_length_3043_cov_26.79081	1	1	0	1.0
DMC	megahit	3	RNODE_308_length_1875_cov_5.96654	1	0	1	0.0
