genome_id	contig_length	coverage	mpspades_detection	megahit_detection	GC_content	num_gene_calls	known_status
RNODE_442_length_4465_cov_7.11694	4465	7.11694	detected	detected	37.06	5	known
RNODE_355_length_1663_cov_6.12066	1663	6.12066	undetected_genomad_plasx	undetected_genomad	37.29	1	known
RNODE_65_length_5443_cov_3.51540	5443	3.5154	detected	detected	55.8	7	combined
RNODE_308_length_1875_cov_5.96654	1875	5.96654	undetected_genomad_plasx	undetected_genomad_plasx	52.73	4	known
RNODE_434_length_14801_cov_23.79494	14801	23.79494	detected	detected	62.2	17	combined
RNODE_235_length_2608_cov_55.03480	2608	55.0348	detected	detected	60.79	5	combined
RNODE_320_length_4859_cov_4.38495	4859	4.38495	undetected_genomad	undetected_genomad	57.83	7	combined
RNODE_5_length_4125_cov_14.53571	4125	14.53571	detected	detected	36.7	5	known
RNODE_243_length_1453_cov_2.63382	1453	2.63382	detected	detected	34.24	1	known
RNODE_277_length_1592_cov_15.82548	1592	15.82548	undetected_genomad_plasx	undetected_genomad_plasx	59.3	2	combined
RNODE_309_length_1659_cov_3.16188	1659	3.16188	detected	detected	41.17	2	combined
RNODE_444_length_4937_cov_48.00188	4937	48.00188	undetected_genomad	undetected_genomad	52.28	8	combined
RNODE_31_length_1357_cov_12.09363	1357	12.09363	undetected_genomad	undetected_genomad_plasx	53.26	1	known
RNODE_279_length_3658_cov_27.56711	3658	27.56711	detected	detected	47.17	5	combined
RNODE_193_length_1789_cov_7.19864	1789	7.19864	detected	detected	49.69	3	known
RNODE_107_length_1496_cov_161.33989	1496	161.33989	detected	detected	63.98	1	known
RNODE_429_length_2129_cov_51.99106	2129	51.99106	detected	detected	40.11	2	combined
RNODE_440_length_3551_cov_9.74435	3551	9.74435	detected	detected	61.22	4	known
RNODE_346_length_1757_cov_2.65187	1757	2.65187	undetected_genomad_plasx	undetected_genomad	31.41	2	combined
RNODE_563_length_5038_cov_7.26694	5038	7.26694	detected	detected	59.17	8	combined
RNODE_200_length_4574_cov_2.94178	4574	2.94178	detected	detected	40.93	7	combined
RNODE_263_length_2277_cov_8.44168	2277	8.44168	undetected_genomad_plasx	undetected_genomad	36.36	4	known
RNODE_110_length_1672_cov_10.73939	1672	10.73939	undetected_genomad_plasx	undetected_genomad_plasx	52.67	2	no fams
RNODE_491_length_3124_cov_17.57383	3124	17.57383	undetected_genomad	undetected_genomad	62.34	4	combined
RNODE_493_length_3152_cov_5.77526	3152	5.77526	detected	detected	29.63	4	combined
RNODE_415_length_2147_cov_6.45506	2147	6.45506	undetected_genomad_plasx	undetected_genomad	36.8	3	combined
RNODE_551_length_4193_cov_74.72016	4193	74.72016	undetected_genomad	undetected_genomad	52.25	5	combined
RNODE_336_length_3563_cov_7.20249	3563	7.20249	undetected_genomad	undetected_genomad	40.5	3	known
RNODE_361_length_3164_cov_8.88447	3164	8.88447	undetected_genomad_plasx	undetected_genomad_plasx	52.23	5	no fams
RNODE_497_length_1925_cov_6.51336	1925	6.51336	undetected_genomad_plasx	undetected_genomad_plasx	34.61	3	known
RNODE_374_length_1862_cov_9.75489	1862	9.75489	undetected_genomad	undetected_genomad	55.27	3	combined
RNODE_311_length_2760_cov_6.45983	2760	6.45983	undetected_genomad	undetected_genomad	38.93	5	combined
RNODE_459_length_2383_cov_4.68776	2383	4.68776	detected	detected	38.74	2	combined
RNODE_439_length_4196_cov_56.49278	4196	56.49278	detected	detected	63.15	5	combined
RNODE_283_length_5699_cov_25.39792	5699	25.39792	detected	detected	58.5	4	combined
RNODE_205_length_1591_cov_9.63735	1591	9.63735	undetected_genomad_plasx	undetected_genomad_plasx	61.38	2	combined
RNODE_423_length_1943_cov_28.57781	1943	28.57781	detected	detected	30.24	2	combined
RNODE_98_length_2627_cov_21.08829	2627	21.08829	detected	detected	59.73	4	known
RNODE_48_length_3658_cov_14.59323	3658	14.59323	detected	detected	30.61	4	combined
RNODE_585_length_3212_cov_16.01628	3212	16.01628	detected	detected	55.24	4	combined
RNODE_537_length_3389_cov_22.49108	3389	22.49108	detected	detected	59.98	4	combined
RNODE_481_length_3960_cov_68.08874	3960	68.08874	detected	detected	47.31	4	combined
RNODE_565_length_1563_cov_11.71995	1563	11.71995	undetected_genomad	undetected_genomad_plasx	63.13	3	known
RNODE_512_length_1592_cov_43.29688	1592	43.29688	undetected_genomad	undetected_genomad	57.56	2	combined
RNODE_420_length_1334_cov_5.52134	1334	5.52134	detected	detected	49.24	3	known
RNODE_464_length_2364_cov_17.83117	2364	17.83117	undetected_genomad	undetected_genomad	37.34	2	combined
RNODE_479_length_5023_cov_17.63107	5023	17.63107	detected	detected	66.82	7	combined
RNODE_94_length_3002_cov_6.48725	3002	6.48725	detected	detected	32.52	3	combined
RNODE_381_length_1819_cov_13.04118	1819	13.04118	detected	detected	41.96	1	combined
RNODE_509_length_6803_cov_457.59293	6803	457.59293	detected	detected	60.58	10	combined
RNODE_342_length_1543_cov_10.88823	1543	10.88823	undetected_genomad_plasx	undetected_genomad_plasx	57.66	2	combined
RNODE_560_length_3911_cov_3.86563	3911	3.86563	detected	detected	52.42	5	combined
RNODE_396_length_4766_cov_5.16589	4766	5.16589	detected	detected	31.24	6	combined
RNODE_73_length_2194_cov_7.49125	2194	7.49125	undetected_genomad	undetected_genomad	34.3	2	known
RNODE_584_length_2761_cov_46.10439	2761	46.10439	detected	detected	56.53	4	known
RNODE_527_length_1767_cov_4.22840	1767	4.2284	detected	detected	27.45	2	known
RNODE_62_length_3589_cov_56.75862	3589	56.75862	detected	detected	59.29	5	combined
RNODE_400_length_5708_cov_9.81991	5708	9.81991	undetected_genomad	undetected_genomad	30.57	5	combined
RNODE_307_length_2104_cov_13.21902	2104	13.21902	undetected_genomad	undetected_genomad	31.46	3	known
RNODE_318_length_3470_cov_3.16589	3470	3.16589	detected	detected	31.73	4	known
RNODE_583_length_3095_cov_44.70980	3095	44.7098	undetected_genomad_plasx	undetected_genomad_plasx	54.67	5	known
RNODE_122_length_6709_cov_4.03320	6709	4.0332	detected	detected	55.87	9	combined
RNODE_455_length_4124_cov_9.17267	4124	9.17267	undetected_genomad	undetected_genomad	39.54	4	combined
RNODE_116_length_4192_cov_3.28201	4192	3.28201		detected	36.69	7	combined
RNODE_524_length_1679_cov_2.99128	1679	2.99128	undetected_genomad_plasx	undetected_genomad_plasx	56.51	2	de novo
