0	1	2	3	4	5	6	7	8	9
RNODE_383_length_2253_cov_7.64097	1	3	1	1	7	2	2	2	1	1
RNODE_392_length_2136_cov_7.00284	1	1	1	1	1	2	1	1	0	0
RNODE_400_length_5708_cov_9.81991	1	0	0	9	3	0	1	0	0	1
RNODE_407_length_46658_cov_49.66972	2	0	0	0	0	0	0	0	0	0
RNODE_411_length_4317_cov_4.49267	1	1	1	1	1	1	1	1	1	5
RNODE_418_length_1505_cov_4.15172	1	1	0	2	0	0	2	1	1	0
RNODE_428_length_4686_cov_43.92415	1	1	2	1	1	1	1	1	1	1
RNODE_431_length_1803_cov_5.36772	1	1	2	1	1	5	2	1	1	2
RNODE_432_length_14865_cov_28.53268	2	1	1	4	0	2	1	5	14	2
RNODE_434_length_14801_cov_23.79494	1	2	1	2	1	1	1	4	1	5
RNODE_435_length_5602_cov_25.16136	1	1	2	2	4	1	1	1	1	0
RNODE_436_length_6429_cov_48.44919	1	1	0	1	2	7	0	0	1	1
RNODE_439_length_4196_cov_56.49278	1	0	1	1	2	2	1	1	4	0
RNODE_440_length_3551_cov_9.74435	1	0	3	2	1	1	1	3	1	1
RNODE_444_length_4937_cov_48.00188	1	1	1	1	0	4	1	0	0	1
RNODE_459_length_2383_cov_4.68776	1	0	1	1	1	0	0	1	3	1
RNODE_468_length_1541_cov_8.66960	1	3	1	1	1	6	4	1	6	8
RNODE_479_length_5023_cov_17.63107	1	2	1	1	1	1	1	1	1	1
RNODE_487_length_5196_cov_22.71473	6	1	2	1	1	3	1	2	1	1
RNODE_48_length_3658_cov_14.59323	1	0	1	5	0	1	1	0	1	1
RNODE_491_length_3124_cov_17.57383	1	1	5	1	1	2	1	1	1	0
RNODE_496_length_8599_cov_9.53327	1	1	1	1	1	8	1	1	1	2
RNODE_498_length_2044_cov_7.98216	1	1	1	1	1	1	2	1	1	1
RNODE_509_length_6803_cov_457.59293	1	1	0	0	0	0	0	0	0	2
RNODE_513_length_2330_cov_8.01964	1	1	1	1	1	2	1	1	1	2
RNODE_515_length_1754_cov_11.73892	1	1	1	2	1	1	1	1	1	1
RNODE_518_length_1369_cov_4.72490	1	0	2	1	1	1	1	1	1	1
RNODE_521_length_36130_cov_13.94678	1	1	1	1	1	1	1	1	1	7
RNODE_522_length_1263_cov_12.38809	1	1	1	1	2	1	1	2	1	0
RNODE_523_length_7269_cov_4.49610	1	2	0	0	0	0	0	0	0	0
RNODE_527_length_1767_cov_4.22840	1	1	0	2	0	0	0	1	0	1
RNODE_528_length_4221_cov_4.74329	20	1	1	2	1	1	1	1	1	1
RNODE_530_length_2571_cov_32.65278	2	1	1	1	1	1	1	1	1	1
RNODE_539_length_1827_cov_6.73752	1	1	1	1	1	2	1	1	1	1
RNODE_544_length_1578_cov_361.93923	1	1	1	1	1	1	1	3	1	1
RNODE_54_length_5865_cov_60.48297	3	1	1	1	2	1	1	1	1	1
RNODE_551_length_4193_cov_74.72016	1	1	0	1	0	3	0	0	6	0
RNODE_559_length_3361_cov_13.97064	3	1	1	1	1	1	1	2	1	1
RNODE_55_length_2901_cov_27.42654	1	0	1	3	0	0	0	0	0	0
RNODE_562_length_2033_cov_5.34232	1	1	1	1	1	5	1	1	1	1
RNODE_576_length_3043_cov_26.79081	1	1	1	1	0	3	0	1	2	1
RNODE_583_length_3095_cov_44.70980	1	1	1	1	1	4	1	3	0	0
RNODE_585_length_3212_cov_16.01628	1	1	1	1	0	1	2	2	1	1
RNODE_60_length_1811_cov_3.41811	1	3	2	15	18	1	9	3	1	1
RNODE_62_length_3589_cov_56.75862	1	2	0	1	0	1	1	0	1	0
RNODE_67_length_1419_cov_2.86686	1	1	1	1	1	0	2	0	1	1
RNODE_74_length_1811_cov_7.67971	13	1	20	33	9	8	1	6	6	1
RNODE_78_length_5103_cov_8.24306	1	1	0	1	1	3	0	1	3	0
RNODE_89_length_4251_cov_3.70418	1	0	1	4	0	0	0	0	2	0
RNODE_90_length_1469_cov_9.25017	1	1	1	1	1	1	1	1	5	1
RNODE_91_length_2298_cov_6.78822	1	0	1	2	1	1	1	0	0	0
RNODE_93_length_1501_cov_3.34415	1	1	1	1	1	1	1	4	1	1
