reference_genomes	contigs	ID	mpspades_detection	num_gene_calls_reference	plasx_score	genomad_score	genomad_identified	plasx_identified	CAMI_Sample	name	contig_length	GC_contig	num_gene_calls_contig
RNODE_227_length_4381_cov_5.48337	NODE_38_length_4486_cov_44.701308_cutoff_0_type_circular	plasmid	detected	5	0.9990477569499742	0.9991	True	True	0	NODE_38_length_4486_cov_44.701308_cutoff_0_type_circular	4486	0.36	5
RNODE_228_length_3093_cov_6.42006	NODE_73_length_3198_cov_19.394008_cutoff_0_type_circular	plasmid	detected	6	0.8191234565507354	0.996	True	False	0	NODE_73_length_3198_cov_19.394008_cutoff_0_type_circular	3198	0.39	5
RNODE_234_length_1595_cov_9.13223	NODE_156_length_1700_cov_281.082009_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3		0.9233	False	False	0	NODE_156_length_1700_cov_281.082009_cutoff_0_type_circular	1700	0.58	3
RNODE_235_length_2608_cov_55.03480	NODE_87_length_2713_cov_10.808198_cutoff_0_type_circular	plasmid	detected	5	0.6822943418586936	0.9991	True	False	0	NODE_87_length_2713_cov_10.808198_cutoff_0_type_circular	2713	0.61	5
RNODE_243_length_1453_cov_2.63382	NODE_184_length_1558_cov_11.505940_cutoff_0_type_circular	plasmid	detected	1	0.7871037538323191	0.999	True	False	0	NODE_184_length_1558_cov_11.505940_cutoff_0_type_circular	1558	0.35	1
RNODE_251_length_2763_cov_28.99562	NODE_80_length_2868_cov_16.183510_cutoff_0_type_circular	plasmid	undetected_genomad	3	0.9870850907360426	0.9547	False	True	0	NODE_80_length_2868_cov_16.183510_cutoff_0_type_circular	2868	0.39	4
RNODE_254_length_2341_cov_33.31005	NODE_94_length_2446_cov_149.610177_cutoff_0_type_circular	plasmid	detected	4	0.2986195691443276	0.9988	True	False	0	NODE_94_length_2446_cov_149.610177_cutoff_0_type_circular	2446	0.34	5
RNODE_258_length_1627_cov_2.34517	NODE_154_length_1732_cov_13.583801_cutoff_0_type_circular	plasmid	undetected_genomad	3	0.4976472539611682	0.7554	False	False	0	NODE_154_length_1732_cov_13.583801_cutoff_0_type_circular	1732	0.5	3
RNODE_263_length_2277_cov_8.44168	NODE_103_length_2382_cov_6.505100_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	4	0.2308357478270384	0.3456	False	False	0	NODE_103_length_2382_cov_6.505100_cutoff_0_type_circular	2382	0.37	4
RNODE_277_length_1592_cov_15.82548	NODE_157_length_1697_cov_11.036306_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.8214001995581407	0.9973	False	False	0	NODE_157_length_1697_cov_11.036306_cutoff_0_type_circular	1697	0.59	3
RNODE_279_length_3658_cov_27.56711	NODE_51_length_3763_cov_9.563256_cutoff_0_type_circular	plasmid	detected	5	0.990339408176424	0.9991	True	True	0	NODE_51_length_3763_cov_9.563256_cutoff_0_type_circular	3763	0.47	5
RNODE_283_length_5699_cov_25.39792	NODE_21_length_5804_cov_6.177206_cutoff_0_type_circular	plasmid	detected	4	0.9711235511174892	0.9991	True	True	0	NODE_21_length_5804_cov_6.177206_cutoff_0_type_circular	5804	0.59	5
RNODE_307_length_2104_cov_13.21902	NODE_110_length_2209_cov_4.123439_cutoff_0_type_circular	plasmid	undetected_genomad	3	0.9858568044512824	0.9645	False	True	0	NODE_110_length_2209_cov_4.123439_cutoff_0_type_circular	2209	0.31	3
RNODE_308_length_1875_cov_5.96654	NODE_129_length_1980_cov_9.978953_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	4	0.4976472539611682	0.792	False	False	0	NODE_129_length_1980_cov_9.978953_cutoff_0_type_circular	1980	0.52	4
RNODE_309_length_1659_cov_3.16188	NODE_151_length_1764_cov_7.860721_cutoff_0_type_circular	plasmid	detected	2	0.9680507460224076	0.9989	True	True	0	NODE_151_length_1764_cov_7.860721_cutoff_0_type_circular	1764	0.42	2
RNODE_311_length_2760_cov_6.45983	NODE_81_length_2865_cov_5.857195_cutoff_0_type_circular	plasmid	undetected_genomad	5	0.9488026707050884	0.684	False	True	0	NODE_81_length_2865_cov_5.857195_cutoff_0_type_circular	2865	0.38	4
RNODE_315_length_1516_cov_8.44846	NODE_173_length_1621_cov_19.053548_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.4976472539611682	0.9385	False	False	0	NODE_173_length_1621_cov_19.053548_cutoff_0_type_circular	1621	0.49	3
RNODE_318_length_3470_cov_3.16589	NODE_61_length_3575_cov_4.838747_cutoff_0_type_circular	plasmid	detected	4	0.9755158994089834	0.9989	True	True	0	NODE_61_length_3575_cov_4.838747_cutoff_0_type_circular	3575	0.32	5
RNODE_31_length_1357_cov_12.09363	NODE_188_length_1462_cov_8.632959_cutoff_0_type_circular	plasmid	undetected_genomad	1	0.7871037538323191	0.9989	False	False	0	NODE_188_length_1462_cov_8.632959_cutoff_0_type_circular	1462	0.54	1
RNODE_320_length_4859_cov_4.38495	NODE_31_length_4964_cov_9.631176_cutoff_0_type_circular	plasmid	undetected_genomad	7	0.9979702987254724	0.9977	False	True	0	NODE_31_length_4964_cov_9.631176_cutoff_0_type_circular	4964	0.58	8
RNODE_322_length_4175_cov_18.22923	NODE_42_length_4280_cov_36.166867_cutoff_0_type_circular	plasmid	detected	5	0.9954907272066976	0.9858	True	True	0	NODE_42_length_4280_cov_36.166867_cutoff_0_type_circular	4280	0.59	6
RNODE_324_length_1537_cov_10.20528	NODE_168_length_1642_cov_16.445545_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.4976472539611682	0.9614	False	False	0	NODE_168_length_1642_cov_16.445545_cutoff_0_type_circular	1642	0.59	3
RNODE_32_length_11742_cov_6.79514	NODE_4_length_11847_cov_31.608020_cutoff_0_type_circular	plasmid	detected	13	0.9999683585236776	0.9973	True	True	0	NODE_4_length_11847_cov_31.608020_cutoff_0_type_circular	11847	0.68	13
RNODE_336_length_3563_cov_7.20249	NODE_58_length_3668_cov_7.869811_cutoff_0_type_circular	plasmid	undetected_genomad	3	0.835239822907378	0.9695	False	False	0	NODE_58_length_3668_cov_7.869811_cutoff_0_type_circular	3668	0.41	4
RNODE_342_length_1543_cov_10.88823	NODE_166_length_1648_cov_4.014464_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.4976472539611682	0.8706	False	False	0	NODE_166_length_1648_cov_4.014464_cutoff_0_type_circular	1648	0.58	3
RNODE_346_length_1757_cov_2.65187	NODE_142_length_1862_cov_6.412680_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.6682706807618155	0.5794	False	False	0	NODE_142_length_1862_cov_6.412680_cutoff_0_type_circular	1862	0.31	3
RNODE_355_length_1663_cov_6.12066	NODE_150_length_1768_cov_11.366849_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	1	0.6749653342311849	0.9974	False	False	0	NODE_150_length_1768_cov_11.366849_cutoff_0_type_circular	1768	0.38	2
RNODE_360_length_7414_cov_9.06737	NODE_11_length_7519_cov_18.254870_cutoff_0_type_circular	plasmid	detected	6	0.9999081104821808	0.999	True	True	0	NODE_11_length_7519_cov_18.254870_cutoff_0_type_circular	7519	0.6	7
RNODE_361_length_3164_cov_8.88447	NODE_70_length_3269_cov_7.281031_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	5		0.7636	False	False	0	NODE_70_length_3269_cov_7.281031_cutoff_0_type_circular	3269	0.52	5
RNODE_362_length_3387_cov_8.21902	NODE_64_length_3492_cov_21.233581_cutoff_0_type_circular	plasmid	detected	5	0.9978412232782324	0.9989	True	True	0	NODE_64_length_3492_cov_21.233581_cutoff_0_type_circular	3492	0.35	5
RNODE_372_length_2448_cov_3.45466	NODE_90_length_2553_cov_168.659110_cutoff_0_type_circular	plasmid	detected	3	0.7900829148824025	0.9991	True	False	0	NODE_90_length_2553_cov_168.659110_cutoff_0_type_circular	2553	0.33	3
RNODE_374_length_1862_cov_9.75489	NODE_130_length_1967_cov_6.019565_cutoff_0_type_circular	plasmid	undetected_genomad	3	0.9518120319234968	0.999	False	True	0	NODE_130_length_1967_cov_6.019565_cutoff_0_type_circular	1967	0.55	4
RNODE_381_length_1819_cov_13.04118	NODE_132_length_1924_cov_4.710072_cutoff_0_type_circular	plasmid	detected	1	0.9818380104058212	0.999	True	True	0	NODE_132_length_1924_cov_4.710072_cutoff_0_type_circular	1924	0.42	2
RNODE_383_length_2253_cov_7.64097	NODE_104_length_2358_cov_14.747199_cutoff_0_type_circular	plasmid	detected	2	0.9992222608953673	0.9991	True	True	0	NODE_104_length_2358_cov_14.747199_cutoff_0_type_circular	2358	0.35	2
RNODE_38_length_1552_cov_8.47059	NODE_164_length_1657_cov_27.566013_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.8285234270629398	0.9443	False	False	0	NODE_164_length_1657_cov_27.566013_cutoff_0_type_circular	1657	0.6	3
RNODE_396_length_4766_cov_5.16589	NODE_32_length_4871_cov_4.310076_cutoff_0_type_circular	plasmid	detected	6	0.334158581042503	0.999	True	False	0	NODE_32_length_4871_cov_4.310076_cutoff_0_type_circular	4871	0.31	6
RNODE_400_length_5708_cov_9.81991	NODE_20_length_5813_cov_4.042737_cutoff_0_type_circular	plasmid	undetected_genomad	5	0.9955220696358094	0.2535	False	True	0	NODE_20_length_5813_cov_4.042737_cutoff_0_type_circular	5813	0.3	6
RNODE_411_length_4317_cov_4.49267	NODE_39_length_4422_cov_71.264028_cutoff_0_type_circular	plasmid	detected	8	0.9182721497602784	0.9991	True	True	0	NODE_39_length_4422_cov_71.264028_cutoff_0_type_circular	4422	0.64	8
RNODE_415_length_2147_cov_6.45506	NODE_107_length_2252_cov_6.320000_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.8785744561287391	0.9987	False	False	0	NODE_107_length_2252_cov_6.320000_cutoff_0_type_circular	2252	0.36	2
RNODE_423_length_1943_cov_28.57781	NODE_128_length_1982_cov_5.360647_cutoff_0_type_circular	plasmid	detected	2	0.9007334378156492	0.9991	True	True	0	NODE_128_length_1982_cov_5.360647_cutoff_0_type_circular	1982	0.3	2
RNODE_428_length_4686_cov_43.92415	NODE_35_length_4769_cov_17.121499_cutoff_0_type_circular	plasmid	detected	5	0.959155947671622	0.999	True	True	0	NODE_35_length_4769_cov_17.121499_cutoff_0_type_circular	4769	0.6	5
RNODE_429_length_2129_cov_51.99106	NODE_116_length_2124_cov_9.072609_cutoff_0_type_circular	plasmid	detected	2	0.9818380104058212	0.999	True	True	0	NODE_116_length_2124_cov_9.072609_cutoff_0_type_circular	2124	0.4	2
RNODE_439_length_4196_cov_56.49278	NODE_43_length_4279_cov_5.748555_cutoff_0_type_circular	plasmid	detected	5	0.2374530525891713	0.9991	True	False	0	NODE_43_length_4279_cov_5.748555_cutoff_0_type_circular	4279	0.63	5
RNODE_440_length_3551_cov_9.74435	NODE_59_length_3634_cov_8.372683_cutoff_0_type_circular	plasmid	detected	4	0.4976472539611682	0.9986	True	False	0	NODE_59_length_3634_cov_8.372683_cutoff_0_type_circular	3634	0.62	4
RNODE_442_length_4465_cov_7.11694	NODE_37_length_4504_cov_10.490747_cutoff_0_type_circular	plasmid	detected	5	0.9554326660259252	0.9991	True	True	0	NODE_37_length_4504_cov_10.490747_cutoff_0_type_circular	4504	0.37	6
RNODE_444_length_4937_cov_48.00188	NODE_30_length_5020_cov_10.530349_cutoff_0_type_circular	plasmid	undetected_genomad	8	0.9726354096625572	0.9613	False	True	0	NODE_30_length_5020_cov_10.530349_cutoff_0_type_circular	5020	0.52	8
RNODE_459_length_2383_cov_4.68776	NODE_97_length_2422_cov_6.038780_cutoff_0_type_circular	plasmid	detected	2	0.9998611275816108	0.9989	True	True	0	NODE_97_length_2422_cov_6.038780_cutoff_0_type_circular	2422	0.39	3
RNODE_468_length_1541_cov_8.66960	NODE_172_length_1624_cov_23.830995_cutoff_0_type_circular	plasmid	undetected_genomad	2	0.9041726042425564	0.0802	False	True	0	NODE_172_length_1624_cov_23.830995_cutoff_0_type_circular	1624	0.56	2
RNODE_474_length_1569_cov_5.24895	NODE_165_length_1652_cov_14.325902_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.4976472539611682	0.7093	False	False	0	NODE_165_length_1652_cov_14.325902_cutoff_0_type_circular	1652	0.51	3
RNODE_479_length_5023_cov_17.63107	NODE_29_length_5106_cov_4.383009_cutoff_0_type_circular	plasmid	detected	7	0.9601832854681372	0.999	True	True	0	NODE_29_length_5106_cov_4.383009_cutoff_0_type_circular	5106	0.67	7
RNODE_481_length_3960_cov_68.08874	NODE_49_length_3999_cov_7.577479_cutoff_0_type_circular	plasmid	detected	4	0.9874884466716788	0.999	True	True	0	NODE_49_length_3999_cov_7.577479_cutoff_0_type_circular	3999	0.47	4
RNODE_487_length_5196_cov_22.71473	NODE_26_length_5279_cov_29.480008_cutoff_0_type_circular	plasmid	detected	7	0.6182198503922767	0.999	True	False	0	NODE_26_length_5279_cov_29.480008_cutoff_0_type_circular	5279	0.34	8
RNODE_48_length_3658_cov_14.59323	NODE_52_length_3763_cov_6.099560_cutoff_0_type_circular	plasmid	detected	4	0.9853113960453748	0.9991	True	True	0	NODE_52_length_3763_cov_6.099560_cutoff_0_type_circular	3763	0.31	5
RNODE_491_length_3124_cov_17.57383	NODE_72_length_3207_cov_7.466558_cutoff_0_type_circular	plasmid	undetected_genomad	4	0.9942875444345812	0.9826	False	True	0	NODE_72_length_3207_cov_7.466558_cutoff_0_type_circular	3207	0.63	5
RNODE_493_length_3152_cov_5.77526	NODE_74_length_3191_cov_6.791775_cutoff_0_type_circular	plasmid	detected	4	0.9007334378156492	0.999	True	True	0	NODE_74_length_3191_cov_6.791775_cutoff_0_type_circular	3191	0.29	4
RNODE_496_length_8599_cov_9.53327	NODE_10_length_8682_cov_34.111981_cutoff_0_type_circular	plasmid	detected	13	0.155577676420277	0.9956	True	False	0	NODE_10_length_8682_cov_34.111981_cutoff_0_type_circular	8682	0.45	13
RNODE_497_length_1925_cov_6.51336	NODE_125_length_2008_cov_6.317916_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.7871037538323191	0.0538	False	False	0	NODE_125_length_2008_cov_6.317916_cutoff_0_type_circular	2008	0.35	4
RNODE_498_length_2044_cov_7.98216	NODE_121_length_2083_cov_20.789877_cutoff_0_type_circular	plasmid	undetected_genomad	1	0.8843862295583608	0.9685	False	False	0	NODE_121_length_2083_cov_20.789877_cutoff_0_type_circular	2083	0.36	1
RNODE_509_length_6803_cov_457.59293	NODE_13_length_6798_cov_4.311048_cutoff_0_type_circular	plasmid	detected	10	0.9990023475182804	0.9991	True	True	0	NODE_13_length_6798_cov_4.311048_cutoff_0_type_circular	6798	0.61	10
RNODE_50_length_1796_cov_6.24352	NODE_137_length_1901_cov_20.192785_cutoff_0_type_circular	plasmid	detected	2	0.4976472539611682	0.9988	True	False	0	NODE_137_length_1901_cov_20.192785_cutoff_0_type_circular	1901	0.36	1
RNODE_512_length_1592_cov_43.29688	NODE_161_length_1675_cov_5.080103_cutoff_0_type_circular	plasmid	undetected_genomad	2	0.9330738200194584	0.0179	False	True	0	NODE_161_length_1675_cov_5.080103_cutoff_0_type_circular	1675	0.58	3
RNODE_513_length_2330_cov_8.01964	NODE_100_length_2413_cov_10.541557_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.4976472539611682	0.9986	False	False	0	NODE_100_length_2413_cov_10.541557_cutoff_0_type_circular	2413	0.51	2
RNODE_527_length_1767_cov_4.22840	NODE_145_length_1850_cov_4.558328_cutoff_0_type_circular	plasmid	detected	2	0.9007334378156492	0.9871	True	True	0	NODE_145_length_1850_cov_4.558328_cutoff_0_type_circular	1850	0.28	1
RNODE_534_length_10183_cov_8.47628	NODE_6_length_10266_cov_45.903935_cutoff_0_type_circular	plasmid	undetected_genomad	12	0.9999820778523248	0.9842	False	True	0	NODE_6_length_10266_cov_45.903935_cutoff_0_type_circular	10266	0.6	12
RNODE_537_length_3389_cov_22.49108	NODE_67_length_3428_cov_6.934262_cutoff_0_type_circular	plasmid	detected	4	0.9991764060773995	0.9991	True	True	0	NODE_67_length_3428_cov_6.934262_cutoff_0_type_circular	3428	0.6	4
RNODE_54_length_5865_cov_60.48297	NODE_18_length_5970_cov_29.134862_cutoff_0_type_circular	plasmid	detected	7	0.5963269502981638	0.9991	True	False	0	NODE_18_length_5970_cov_29.134862_cutoff_0_type_circular	5970	0.46	8
RNODE_551_length_4193_cov_74.72016	NODE_44_length_4276_cov_6.758255_cutoff_0_type_circular	plasmid	undetected_genomad	5	0.9620692023688916	0.9755	False	True	0	NODE_44_length_4276_cov_6.758255_cutoff_0_type_circular	4276	0.52	6
RNODE_559_length_3361_cov_13.97064	NODE_66_length_3444_cov_42.409105_cutoff_0_type_circular	plasmid	detected	6	0.823571153167866	0.9991	True	False	0	NODE_66_length_3444_cov_42.409105_cutoff_0_type_circular	3444	0.58	5
RNODE_560_length_3911_cov_3.86563	NODE_50_length_3994_cov_4.808379_cutoff_0_type_circular	plasmid	detected	5	0.8741456243402638	0.9991	True	False	0	NODE_50_length_3994_cov_4.808379_cutoff_0_type_circular	3994	0.52	6
RNODE_562_length_2033_cov_5.34232	NODE_118_length_2116_cov_31.447964_cutoff_0_type_circular	plasmid	undetected_genomad	2	0.9349095915123088	0.9578	False	True	0	NODE_118_length_2116_cov_31.447964_cutoff_0_type_circular	2116	0.55	2
RNODE_563_length_5038_cov_7.26694	NODE_28_length_5121_cov_7.416700_cutoff_0_type_circular	plasmid	detected	8	0.9867522964288707	0.9991	True	True	0	NODE_28_length_5121_cov_7.416700_cutoff_0_type_circular	5121	0.59	8
RNODE_56_length_2028_cov_4.74177	NODE_115_length_2133_cov_36.467597_cutoff_0_type_circular	plasmid	undetected_genomad	3	0.9041726042425564	0.9889	False	True	0	NODE_115_length_2133_cov_36.467597_cutoff_0_type_circular	2133	0.46	2
RNODE_576_length_3043_cov_26.79081	NODE_77_length_3126_cov_15.961987_cutoff_0_type_circular	plasmid	detected	5	0.9692965134764664	0.9991	True	True	0	NODE_77_length_3126_cov_15.961987_cutoff_0_type_circular	3126	0.51	5
RNODE_583_length_3095_cov_44.70980	NODE_75_length_3178_cov_4.373976_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	5	0.4976472539611682	0.9238	False	False	0	NODE_75_length_3178_cov_4.373976_cutoff_0_type_circular	3178	0.55	5
RNODE_584_length_2761_cov_46.10439	NODE_82_length_2844_cov_4.607287_cutoff_0_type_circular	plasmid	detected	4	0.560614795106469	0.999	True	False	0	NODE_82_length_2844_cov_4.607287_cutoff_0_type_circular	2844	0.56	4
RNODE_585_length_3212_cov_16.01628	NODE_69_length_3295_cov_6.922980_cutoff_0_type_circular	plasmid	detected	4	0.9801673848310336	0.999	True	True	0	NODE_69_length_3295_cov_6.922980_cutoff_0_type_circular	3295	0.55	4
RNODE_5_length_4125_cov_14.53571	NODE_45_length_4230_cov_8.765294_cutoff_0_type_circular	plasmid	detected	5	0.9417041588187922	0.999	True	True	0	NODE_45_length_4230_cov_8.765294_cutoff_0_type_circular	4230	0.37	6
RNODE_62_length_3589_cov_56.75862	NODE_56_length_3694_cov_4.188113_cutoff_0_type_circular	plasmid	detected	5	0.9919777784856244	0.9989	True	True	0	NODE_56_length_3694_cov_4.188113_cutoff_0_type_circular	3694	0.59	5
RNODE_65_length_5443_cov_3.51540	NODE_24_length_5548_cov_12.393839_cutoff_0_type_circular	plasmid	detected	7	0.8919103551175885	0.999	True	False	0	NODE_24_length_5548_cov_12.393839_cutoff_0_type_circular	5548	0.56	6
RNODE_73_length_2194_cov_7.49125	NODE_106_length_2299_cov_4.411142_cutoff_0_type_circular	plasmid	undetected_genomad	2	0.9600892253356365	0.9989	False	True	0	NODE_106_length_2299_cov_4.411142_cutoff_0_type_circular	2299	0.34	3
RNODE_74_length_1811_cov_7.67971	NODE_134_length_1916_cov_140.370039_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.6869120984505906	0.9972	False	False	0	NODE_134_length_1916_cov_140.370039_cutoff_0_type_circular	1916	0.58	3
RNODE_93_length_1501_cov_3.34415	NODE_177_length_1606_cov_25.732252_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.6869120984505906	0.9543	False	False	0	NODE_177_length_1606_cov_25.732252_cutoff_0_type_circular	1606	0.57	3
RNODE_94_length_3002_cov_6.48725	NODE_78_length_3107_cov_3.709060_cutoff_0_type_circular	plasmid	detected	3	0.9007334378156492	0.9991	True	True	0	NODE_78_length_3107_cov_3.709060_cutoff_0_type_circular	3107	0.33	4
RNODE_98_length_2627_cov_21.08829	NODE_86_length_2732_cov_5.157774_cutoff_0_type_circular	plasmid	detected	4	0.980996733588853	0.9991	True	True	0	NODE_86_length_2732_cov_5.157774_cutoff_0_type_circular	2732	0.6	4
RNODE_107_length_1496_cov_161.33989	NODE_140_length_1601_cov_16.433514_cutoff_0_type_circular	plasmid	detected	1	0.560614795106469	0.9985	True	False	1	NODE_140_length_1601_cov_16.433514_cutoff_0_type_circular	1601	0.64	1
RNODE_109_length_1521_cov_3.43229	NODE_133_length_1626_cov_71.078052_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.4976472539611682	0.6341	False	False	1	NODE_133_length_1626_cov_71.078052_cutoff_0_type_circular	1626	0.57	3
RNODE_110_length_1672_cov_10.73939	NODE_111_length_1777_cov_8.386667_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2		0.957	False	False	1	NODE_111_length_1777_cov_8.386667_cutoff_0_type_circular	1777	0.53	3
RNODE_122_length_6709_cov_4.03320	NODE_13_length_6814_cov_3.760281_cutoff_0_type_circular	plasmid	detected	9	0.1163244680691008	0.9991	True	False	1	NODE_13_length_6814_cov_3.760281_cutoff_0_type_circular	6814	0.56	10
RNODE_125_length_3363_cov_4.82640	NODE_53_length_3468_cov_135.839569_cutoff_0_type_circular	plasmid	detected	4	0.9895789190605686	0.999	True	True	1	NODE_53_length_3468_cov_135.839569_cutoff_0_type_circular	3468	0.36	3
RNODE_133_length_1956_cov_5.95398	NODE_94_length_2061_cov_12.872802_cutoff_0_type_circular	plasmid	detected	3	0.981838268585536	0.9986	True	True	1	NODE_94_length_2061_cov_12.872802_cutoff_0_type_circular	2061	0.51	3
RNODE_139_length_3589_cov_11.15335	NODE_47_length_3694_cov_22.010373_cutoff_0_type_circular	plasmid	undetected_genomad	4	0.9682845351464696	0.9895	False	True	1	NODE_47_length_3694_cov_22.010373_cutoff_0_type_circular	3694	0.38	5
RNODE_146_length_5606_cov_4.42067	NODE_20_length_5711_cov_312.092944_cutoff_0_type_circular	plasmid	detected	11	0.9743132470605992	0.9991	True	True	1	NODE_20_length_5711_cov_312.092944_cutoff_0_type_circular	5711	0.58	11
RNODE_149_length_1949_cov_4.19357	NODE_95_length_2054_cov_15.497665_cutoff_0_type_circular	plasmid	detected	1	0.994944416177024	0.9991	True	True	1	NODE_95_length_2054_cov_15.497665_cutoff_0_type_circular	2054	0.52	3
RNODE_156_length_3948_cov_63.43887	NODE_40_length_4053_cov_18.265920_cutoff_0_type_circular	plasmid	detected	4	0.9930100417164884	0.9991	True	True	1	NODE_40_length_4053_cov_18.265920_cutoff_0_type_circular	4053	0.62	5
RNODE_171_length_3474_cov_9.39716	NODE_49_length_3579_cov_56.928447_cutoff_0_type_circular	plasmid	detected	5	0.5434047076219696	0.9991	True	False	1	NODE_49_length_3579_cov_56.928447_cutoff_0_type_circular	3579	0.46	5
RNODE_193_length_1789_cov_7.19864	NODE_105_length_1894_cov_19.202603_cutoff_0_type_circular	plasmid	detected	3	0.9992222608953673	0.9991	True	True	1	NODE_105_length_1894_cov_19.202603_cutoff_0_type_circular	1894	0.49	3
RNODE_200_length_4574_cov_2.94178	NODE_31_length_4679_cov_6.789323_cutoff_0_type_circular	plasmid	detected	7	0.2733387568564333	0.9991	True	False	1	NODE_31_length_4679_cov_6.789323_cutoff_0_type_circular	4679	0.41	7
