reference_genomes	contigs	ID	renamed_contigs	megahit_detection	num_gene_calls_reference	plasx_score	genomad_score	genomad_identified	plasx_identified	CAMI_Sample	name	contig_length	GC_contig	0	1	num_gene_calls_contig
RNODE_171_length_3474_cov_9.39716	k141_367542	plasmid	c_000000084336	detected	5		0.0374	False	False	0	k141_367542	675	0.44	c_000000084336	k141_367542	2.0
RNODE_171_length_3474_cov_9.39716	k141_369495	plasmid	c_000000144433	detected	5	0.5743972870868626	0.9989	True	False	0	k141_369495	3593	0.46	c_000000144433	k141_369495	5.0
RNODE_171_length_3474_cov_9.39716	k141_380820	plasmid	c_000000119511	detected	5		0.0416	False	False	0	k141_380820	427	0.39	c_000000119511	k141_380820	1.0
RNODE_171_length_3474_cov_9.39716	k141_390260	plasmid	c_000000014618	detected	5		0.0165	False	False	0	k141_390260	343	0.49	c_000000014618	k141_390260	2.0
RNODE_171_length_3474_cov_9.39716	k141_45287	plasmid	c_000000223667	detected	5	0.2402056813604046	0.0313	False	False	0	k141_45287	371	0.47	c_000000223667	k141_45287	2.0
RNODE_171_length_3474_cov_9.39716	k141_7014	plasmid	c_000000219638	detected	5		0.0348	False	False	0	k141_7014	378	0.48	c_000000219638	k141_7014	1.0
RNODE_193_length_1789_cov_7.19864	k141_402138	plasmid	c_000000401562	detected	3	0.951525367047662	0.999	True	True	0	k141_402138	1908	0.49	c_000000401562	k141_402138	3.0
RNODE_200_length_4574_cov_2.94178	k141_402050	plasmid	c_000000401474	detected	7	0.4121038022692144	0.999	True	False	0	k141_402050	4693	0.41	c_000000401474	k141_402050	7.0
RNODE_205_length_1591_cov_9.63735	k141_402199	plasmid	c_000000401623	undetected_genomad_plasx	2	0.8214001995581407	0.9959	False	False	0	k141_402199	1710	0.61	c_000000401623	k141_402199	3.0
RNODE_220_length_2011_cov_9.40825	k141_402113	plasmid	c_000000401537	undetected_genomad	3	0.4850372075237407	0.231	False	False	0	k141_402113	2130	0.39	c_000000401537	k141_402113	3.0
RNODE_225_length_25884_cov_6.69550	k141_362374	plasmid	c_000000355913	detected	38	0.999999763503172	0.9989	True	True	0	k141_362374	26003	0.62	c_000000355913	k141_362374	38.0
RNODE_225_length_25884_cov_6.69550	k141_362385	plasmid	c_000000356068	detected	38		0.214	False	False	0	k141_362385	417	0.63	c_000000356068	k141_362385	2.0
RNODE_227_length_4381_cov_5.48337	k141_269511	plasmid	c_000000165543	detected	5	0.0632089221515274	0.0128	False	False	0	k141_269511	624	0.43	c_000000165543	k141_269511	2.0
RNODE_227_length_4381_cov_5.48337	k141_397018	plasmid	c_000000249078	detected	5	0.9990477569499742	0.999	True	True	0	k141_397018	4456	0.36	c_000000249078	k141_397018	5.0
RNODE_228_length_3093_cov_6.42006	k141_100386	plasmid	c_000000393974	detected	6		0.0238	False	False	0	k141_100386	372	0.3	c_000000393974	k141_100386	
RNODE_228_length_3093_cov_6.42006	k141_402147	plasmid	c_000000401571	detected	6	0.8191234565507354	0.9972	True	False	0	k141_402147	3212	0.4	c_000000401571	k141_402147	5.0
RNODE_234_length_1595_cov_9.13223	k141_402153	plasmid	c_000000401577	undetected_genomad_plasx	3	0.6592294224656505	0.7997	False	False	0	k141_402153	1714	0.58	c_000000401577	k141_402153	3.0
RNODE_235_length_2608_cov_55.03480	k141_401971	plasmid	c_000000401139	detected	5	0.9012196317430072	0.999	True	True	0	k141_401971	2727	0.61	c_000000401139	k141_401971	5.0
RNODE_243_length_1453_cov_2.63382	k141_402202	plasmid	c_000000401626	detected	1	0.7871037538323191	0.9981	True	False	0	k141_402202	1572	0.34	c_000000401626	k141_402202	1.0
RNODE_251_length_2763_cov_28.99562	k141_124161	plasmid	c_000000325033	undetected_genomad	3	0.3981007048599115	0.0238	False	False	0	k141_124161	361	0.35	c_000000325033	k141_124161	1.0
RNODE_251_length_2763_cov_28.99562	k141_162360	plasmid	c_000000353218	undetected_genomad	3		0.1261	False	False	0	k141_162360	383	0.37	c_000000353218	k141_162360	1.0
RNODE_251_length_2763_cov_28.99562	k141_216713	plasmid	c_000000079153	undetected_genomad	3	0.1680235591850614	0.0174	False	False	0	k141_216713	411	0.37	c_000000079153	k141_216713	1.0
RNODE_251_length_2763_cov_28.99562	k141_338854	plasmid	c_000000381980	undetected_genomad	3		0.2231	False	False	0	k141_338854	425	0.38	c_000000381980	k141_338854	1.0
RNODE_251_length_2763_cov_28.99562	k141_339102	plasmid	c_000000385524	undetected_genomad	3		0.0664	False	False	0	k141_339102	363	0.36	c_000000385524	k141_339102	1.0
RNODE_251_length_2763_cov_28.99562	k141_380239	plasmid	c_000000101564	undetected_genomad	3	0.9532504080019228	0.9648	False	True	0	k141_380239	2882	0.39	c_000000101564	k141_380239	4.0
RNODE_254_length_2341_cov_33.31005	k141_402219	plasmid	c_000000401643	detected	4	0.3773736234096939	0.9977	True	False	0	k141_402219	2460	0.33	c_000000401643	k141_402219	4.0
RNODE_258_length_1627_cov_2.34517	k141_401955	plasmid	c_000000401031	undetected_genomad	3	0.4976472539611682	0.3648	False	False	0	k141_401955	1746	0.5	c_000000401031	k141_401955	3.0
RNODE_263_length_2277_cov_8.44168	k141_402128	plasmid	c_000000401552	undetected_genomad	4	0.9236663883253474	0.9027	False	True	0	k141_402128	2396	0.36	c_000000401552	k141_402128	4.0
RNODE_277_length_1592_cov_15.82548	k141_402105	plasmid	c_000000401529	undetected_genomad_plasx	2	0.8214001995581407	0.9936	False	False	0	k141_402105	1711	0.59	c_000000401529	k141_402105	2.0
RNODE_279_length_3658_cov_27.56711	k141_402074	plasmid	c_000000401498	detected	5	0.9804736926746852	0.999	True	True	0	k141_402074	3735	0.47	c_000000401498	k141_402074	4.0
RNODE_283_length_5699_cov_25.39792	k141_402026	plasmid	c_000000401446	detected	4	0.9711235511174892	0.9988	True	True	0	k141_402026	5787	0.58	c_000000401446	k141_402026	5.0
RNODE_307_length_2104_cov_13.21902	k141_402193	plasmid	c_000000401617	undetected_genomad	3	0.9858568044512824	0.9442	False	True	0	k141_402193	2223	0.32	c_000000401617	k141_402193	3.0
RNODE_308_length_1875_cov_5.96654	k141_402045	plasmid	c_000000401469	undetected_genomad_plasx	4	0.8285234270629398	0.8247	False	False	0	k141_402045	1994	0.53	c_000000401469	k141_402045	4.0
RNODE_309_length_1659_cov_3.16188	k141_402061	plasmid	c_000000401485	detected	2	0.9680507460224076	0.9985	True	True	0	k141_402061	1778	0.41	c_000000401485	k141_402061	3.0
RNODE_311_length_2760_cov_6.45983	k141_218778	plasmid	c_000000140686	undetected_genomad	5		0.0495	False	False	0	k141_218778	673	0.44	c_000000140686	k141_218778	2.0
RNODE_311_length_2760_cov_6.45983	k141_31647	plasmid	c_000000195218	undetected_genomad	5	0.9488026707050884	0.1156	False	True	0	k141_31647	2879	0.39	c_000000195218	k141_31647	5.0
RNODE_315_length_1516_cov_8.44846	k141_402109	plasmid	c_000000401533	undetected_genomad_plasx	2	0.4976472539611682	0.2712	False	False	0	k141_402109	1635	0.48	c_000000401533	k141_402109	3.0
RNODE_318_length_3470_cov_3.16589	k141_402172	plasmid	c_000000401596	detected	4	0.9755158994089834	0.9985	True	True	0	k141_402172	3589	0.33	c_000000401596	k141_402172	5.0
RNODE_31_length_1357_cov_12.09363	k141_157896	plasmid	c_000000202682	undetected_genomad_plasx	1	0.7871037538323191	0.9986	False	False	0	k141_157896	1373	0.54	c_000000202682	k141_157896	1.0
RNODE_320_length_4859_cov_4.38495	k141_402002	plasmid	c_000000401327	undetected_genomad	7	0.9976455124190884	0.986	False	True	0	k141_402002	4978	0.58	c_000000401327	k141_402002	7.0
RNODE_322_length_4175_cov_18.22923	k141_402034	plasmid	c_000000401458	detected	5	0.9954907272066976	0.9764	True	True	0	k141_402034	4294	0.59	c_000000401458	k141_402034	5.0
RNODE_324_length_1537_cov_10.20528	k141_402110	plasmid	c_000000401534	undetected_genomad_plasx	3	0.4976472539611682	0.8021	False	False	0	k141_402110	1656	0.59	c_000000401534	k141_402110	3.0
RNODE_32_length_11742_cov_6.79514	k141_401970	plasmid	c_000000401135	detected	13	0.9999934455467424	0.9913	True	True	0	k141_401970	11839	0.68	c_000000401135	k141_401970	12.0
RNODE_336_length_3563_cov_7.20249	k141_401979	plasmid	c_000000401189	undetected_genomad	3	0.835239822907378	0.8352	False	False	0	k141_401979	3638	0.4	c_000000401189	k141_401979	3.0
RNODE_342_length_1543_cov_10.88823	k141_402166	plasmid	c_000000401590	undetected_genomad_plasx	2	0.6869120984505906	0.9179	False	False	0	k141_402166	1662	0.58	c_000000401590	k141_402166	2.0
RNODE_346_length_1757_cov_2.65187	k141_402186	plasmid	c_000000401610	undetected_genomad	2	0.6682706807618155	0.6461	False	False	0	k141_402186	1876	0.32	c_000000401610	k141_402186	3.0
RNODE_355_length_1663_cov_6.12066	k141_254103	plasmid	c_000000082079	undetected_genomad	1	0.6749653342311849	0.9964	False	False	0	k141_254103	1880	0.37	c_000000082079	k141_254103	2.0
RNODE_360_length_7414_cov_9.06737	k141_402010	plasmid	c_000000401363	detected	6	0.9998326713355654	0.9989	True	True	0	k141_402010	7533	0.6	c_000000401363	k141_402010	7.0
RNODE_361_length_3164_cov_8.88447	k141_402183	plasmid	c_000000401607	undetected_genomad_plasx	5		0.7591	False	False	0	k141_402183	3283	0.52	c_000000401607	k141_402183	6.0
RNODE_362_length_3387_cov_8.21902	k141_401990	plasmid	c_000000401255	detected	5	0.9255345147962152	0.9986	True	True	0	k141_401990	3506	0.36	c_000000401255	k141_401990	4.0
RNODE_372_length_2448_cov_3.45466	k141_402093	plasmid	c_000000401517	detected	3	0.774884093373189	0.9989	True	False	0	k141_402093	2567	0.33	c_000000401517	k141_402093	3.0
RNODE_374_length_1862_cov_9.75489	k141_401961	plasmid	c_000000401057	undetected_genomad	3	0.76172799510392	0.9986	False	False	0	k141_401961	1981	0.55	c_000000401057	k141_401961	4.0
RNODE_381_length_1819_cov_13.04118	k141_402158	plasmid	c_000000401582	detected	1	0.9561994876223292	0.9988	True	True	0	k141_402158	1938	0.42	c_000000401582	k141_402158	2.0
RNODE_383_length_2253_cov_7.64097	k141_402060	plasmid	c_000000401484	detected	2	0.9818380104058212	0.9989	True	True	0	k141_402060	2372	0.35	c_000000401484	k141_402060	2.0
RNODE_38_length_1552_cov_8.47059	k141_402184	plasmid	c_000000401608	undetected_genomad_plasx	2	0.4976472539611682	0.916	False	False	0	k141_402184	1671	0.6	c_000000401608	k141_402184	3.0
RNODE_396_length_4766_cov_5.16589	k141_402117	plasmid	c_000000401541	detected	6	0.334158581042503	0.9987	True	False	0	k141_402117	4843	0.31	c_000000401541	k141_402117	7.0
RNODE_400_length_5708_cov_9.81991	k141_402131	plasmid	c_000000401555	undetected_genomad	5	0.9955220696358094	0.2178	False	True	0	k141_402131	5739	0.31	c_000000401555	k141_402131	6.0
RNODE_411_length_4317_cov_4.49267	k141_402019	plasmid	c_000000401396	detected	8	0.9119962181409412	0.999	True	True	0	k141_402019	4415	0.64	c_000000401396	k141_402019	8.0
RNODE_415_length_2147_cov_6.45506	k141_402140	plasmid	c_000000401564	undetected_genomad	3	0.8785744561287391	0.9981	False	False	0	k141_402140	2244	0.37	c_000000401564	k141_402140	2.0
RNODE_420_length_1334_cov_5.52134	k141_402089	plasmid	c_000000401513	detected	3	0.5547342860223684	0.9963	True	False	0	k141_402089	1453	0.49	c_000000401513	k141_402089	3.0
RNODE_423_length_1943_cov_28.57781	k141_402144	plasmid	c_000000401568	detected	2	0.9007334378156492	0.9989	True	True	0	k141_402144	1996	0.3	c_000000401568	k141_402144	2.0
RNODE_428_length_4686_cov_43.92415	k141_401998	plasmid	c_000000401301	detected	5	0.959155947671622	0.9987	True	True	0	k141_401998	4783	0.59	c_000000401301	k141_401998	5.0
RNODE_429_length_2129_cov_51.99106	k141_402218	plasmid	c_000000401642	detected	2	0.9818380104058212	0.9989	True	True	0	k141_402218	2138	0.4	c_000000401642	k141_402218	2.0
RNODE_434_length_14801_cov_23.79494	k141_50034	plasmid	c_000000353258	detected	17	0.999999999591004	0.999	True	True	0	k141_50034	14880	0.62	c_000000353258	k141_50034	17.0
RNODE_435_length_5602_cov_25.16136	k141_3841	plasmid	c_000000113045	detected	7	0.9992991295907784	0.999	True	True	0	k141_3841	5545	0.64	c_000000113045	k141_3841	7.0
RNODE_439_length_4196_cov_56.49278	k141_402028	plasmid	c_000000401452	detected	5	0.2374530525891713	0.9989	True	False	0	k141_402028	4293	0.63	c_000000401452	k141_402028	4.0
RNODE_440_length_3551_cov_9.74435	k141_402085	plasmid	c_000000401509	detected	4	0.4976472539611682	0.9978	True	False	0	k141_402085	3648	0.61	c_000000401509	k141_402085	4.0
RNODE_442_length_4465_cov_7.11694	k141_402068	plasmid	c_000000401492	detected	5	0.8081366193090246	0.999	True	False	0	k141_402068	4474	0.37	c_000000401492	k141_402068	5.0
RNODE_444_length_4937_cov_48.00188	k141_402043	plasmid	c_000000401467	undetected_genomad	8	0.9895579966730566	0.8437	False	True	0	k141_402043	5034	0.52	c_000000401467	k141_402043	8.0
RNODE_455_length_4124_cov_9.17267	k141_401983	plasmid	c_000000401207	undetected_genomad	4	0.995222557765132	0.7643	False	True	0	k141_401983	4133	0.4	c_000000401207	k141_401983	4.0
RNODE_459_length_2383_cov_4.68776	k141_402081	plasmid	c_000000401505	detected	2	0.9996908614543388	0.9987	True	True	0	k141_402081	2436	0.39	c_000000401505	k141_402081	3.0
RNODE_464_length_2364_cov_17.83117	k141_402023	plasmid	c_000000401418	undetected_genomad	2	0.998929618370304	0.9343	False	True	0	k141_402023	2395	0.37	c_000000401418	k141_402023	3.0
RNODE_468_length_1541_cov_8.66960	k141_402095	plasmid	c_000000401519	undetected_genomad	2	0.9041726042425564	0.031	False	True	0	k141_402095	1638	0.57	c_000000401519	k141_402095	3.0
RNODE_474_length_1569_cov_5.24895	k141_402075	plasmid	c_000000401499	undetected_genomad_plasx	3	0.6869120984505906	0.9377	False	False	0	k141_402075	1666	0.52	c_000000401499	k141_402075	3.0
RNODE_479_length_5023_cov_17.63107	k141_402056	plasmid	c_000000401480	detected	7	0.9717145699998628	0.9989	True	True	0	k141_402056	5099	0.67	c_000000401480	k141_402056	7.0
RNODE_481_length_3960_cov_68.08874	k141_402064	plasmid	c_000000401488	detected	4	0.9874884466716788	0.9989	True	True	0	k141_402064	3991	0.48	c_000000401488	k141_402064	4.0
RNODE_487_length_5196_cov_22.71473	k141_284697	plasmid	c_000000238704	detected	7	0.6182198503922767	0.9986	True	False	0	k141_284697	5293	0.34	c_000000238704	k141_284697	8.0
RNODE_487_length_5196_cov_22.71473	k141_284708	plasmid	c_000000238835	detected	7		0.0339	False	False	0	k141_284708	478	0.32	c_000000238835	k141_284708	1.0
RNODE_487_length_5196_cov_22.71473	k141_312687	plasmid	c_000000327231	detected	7		0.0213	False	False	0	k141_312687	476	0.32	c_000000327231	k141_312687	1.0
RNODE_487_length_5196_cov_22.71473	k141_390375	plasmid	c_000000017854	detected	7		0.0201	False	False	0	k141_390375	581	0.33	c_000000017854	k141_390375	2.0
RNODE_487_length_5196_cov_22.71473	k141_398553	plasmid	c_000000308617	detected	7		0.0416	False	False	0	k141_398553	298	0.35	c_000000308617	k141_398553	2.0
RNODE_487_length_5196_cov_22.71473	k141_79485	plasmid	c_000000134679	detected	7		0.1596	False	False	0	k141_79485	334	0.31	c_000000134679	k141_79485	1.0
RNODE_48_length_3658_cov_14.59323	k141_402161	plasmid	c_000000401585	detected	4	0.9858093822071864	0.999	True	True	0	k141_402161	3777	0.3	c_000000401585	k141_402161	4.0
RNODE_491_length_3124_cov_17.57383	k141_402022	plasmid	c_000000401414	undetected_genomad	4	0.9870806844230025	0.9794	False	True	0	k141_402022	3200	0.62	c_000000401414	k141_402022	5.0
RNODE_493_length_3152_cov_5.77526	k141_401968	plasmid	c_000000401117	detected	4	0.9007334378156492	0.9988	True	True	0	k141_401968	3205	0.3	c_000000401117	k141_401968	4.0
RNODE_496_length_8599_cov_9.53327	k141_401959	plasmid	c_000000401049	detected	13	0.0864801229128644	0.971	True	False	0	k141_401959	8696	0.45	c_000000401049	k141_401959	13.0
RNODE_497_length_1925_cov_6.51336	k141_402190	plasmid	c_000000401614	undetected_genomad_plasx	3	0.7871037538323191	0.0332	False	False	0	k141_402190	2022	0.35	c_000000401614	k141_402190	4.0
RNODE_498_length_2044_cov_7.98216	k141_402169	plasmid	c_000000401593	undetected_genomad	1	0.99967858451227	0.9517	False	True	0	k141_402169	2053	0.37	c_000000401593	k141_402169	2.0
RNODE_509_length_6803_cov_457.59293	k141_401988	plasmid	c_000000401245	detected	10	0.9992839444044193	0.9988	True	True	0	k141_401988	6812	0.61	c_000000401245	k141_401988	10.0
RNODE_50_length_1796_cov_6.24352	k141_402198	plasmid	c_000000401622	detected	2	0.4976472539611682	0.9979	True	False	0	k141_402198	1915	0.36	c_000000401622	k141_402198	1.0
RNODE_512_length_1592_cov_43.29688	k141_402011	plasmid	c_000000401364	undetected_genomad	2	0.9330738200194584	0.0303	False	True	0	k141_402011	1689	0.58	c_000000401364	k141_402011	3.0
RNODE_513_length_2330_cov_8.01964	k141_402036	plasmid	c_000000401460	undetected_genomad_plasx	3	0.4976472539611682	0.9979	False	False	0	k141_402036	2427	0.51	c_000000401460	k141_402036	2.0
RNODE_524_length_1679_cov_2.99128	k141_401997	plasmid	c_000000401290	undetected_genomad_plasx	2	0.6592294224656505	0.7691	False	False	0	k141_401997	1776	0.57	c_000000401290	k141_401997	3.0
RNODE_527_length_1767_cov_4.22840	k141_402176	plasmid	c_000000401600	detected	2	0.9007334378156492	0.9972	True	True	0	k141_402176	1864	0.27	c_000000401600	k141_402176	1.0
RNODE_534_length_10183_cov_8.47628	k141_401966	plasmid	c_000000401107	undetected_genomad	12	0.9999820778523248	0.7017	False	True	0	k141_401966	10280	0.6	c_000000401107	k141_401966	13.0
RNODE_537_length_3389_cov_22.49108	k141_401973	plasmid	c_000000401146	detected	4	0.9922656645257186	0.9989	True	True	0	k141_401973	3442	0.6	c_000000401146	k141_401973	4.0
RNODE_54_length_5865_cov_60.48297	k141_116690	plasmid	c_000000106419	detected	7		0.0101	False	False	0	k141_116690	446	0.39	c_000000106419	k141_116690	1.0
RNODE_54_length_5865_cov_60.48297	k141_3568	plasmid	c_000000105006	detected	7	0.9588659684068864	0.999	True	True	0	k141_3568	5984	0.46	c_000000105006	k141_3568	8.0
RNODE_54_length_5865_cov_60.48297	k141_379662	plasmid	c_000000080826	detected	7		0.0248	False	False	0	k141_379662	501	0.42	c_000000080826	k141_379662	2.0
RNODE_551_length_4193_cov_74.72016	k141_402087	plasmid	c_000000401511	undetected_genomad	5	0.9620692023688916	0.9396	False	True	0	k141_402087	4290	0.52	c_000000401511	k141_402087	5.0
RNODE_559_length_3361_cov_13.97064	k141_10345	plasmid	c_000000317733	detected	6	0.7396362894299953	0.999	True	False	0	k141_10345	3458	0.58	c_000000317733	k141_10345	6.0
RNODE_559_length_3361_cov_13.97064	k141_229463	plasmid	c_000000097712	detected	6		0.0287	False	False	0	k141_229463	347	0.57	c_000000097712	k141_229463	1.0
RNODE_559_length_3361_cov_13.97064	k141_347372	plasmid	c_000000253445	detected	6		0.0307	False	False	0	k141_347372	368	0.59	c_000000253445	k141_347372	1.0
RNODE_560_length_3911_cov_3.86563	k141_402029	plasmid	c_000000401453	detected	5	0.618109547983541	0.9989	True	False	0	k141_402029	4008	0.53	c_000000401453	k141_402029	6.0
RNODE_562_length_2033_cov_5.34232	k141_402073	plasmid	c_000000401497	undetected_genomad	2	0.9349095915123088	0.9436	False	True	0	k141_402073	2109	0.55	c_000000401497	k141_402073	2.0
RNODE_563_length_5038_cov_7.26694	k141_402033	plasmid	c_000000401457	detected	8	0.9949491894087962	0.999	True	True	0	k141_402033	5135	0.59	c_000000401457	k141_402033	8.0
RNODE_565_length_1563_cov_11.71995	k141_402106	plasmid	c_000000401530	undetected_genomad_plasx	3	0.8214001995581407	0.9231	False	False	0	k141_402106	1660	0.63	c_000000401530	k141_402106	3.0
RNODE_56_length_2028_cov_4.74177	k141_402032	plasmid	c_000000401456	undetected_genomad	3	0.9041726042425564	0.9386	False	True	0	k141_402032	2138	0.47	c_000000401456	k141_402032	2.0
RNODE_576_length_3043_cov_26.79081	k141_402007	plasmid	c_000000401360	detected	5	0.947707362954213	0.9989	True	True	0	k141_402007	3140	0.51	c_000000401360	k141_402007	7.0
RNODE_583_length_3095_cov_44.70980	k141_402027	plasmid	c_000000401451	undetected_genomad_plasx	5	0.4976472539611682	0.9084	False	False	0	k141_402027	3192	0.55	c_000000401451	k141_402027	5.0
RNODE_584_length_2761_cov_46.10439	k141_402055	plasmid	c_000000401479	detected	4	0.5413745080265723	0.9988	True	False	0	k141_402055	2858	0.57	c_000000401479	k141_402055	4.0
RNODE_585_length_3212_cov_16.01628	k141_402116	plasmid	c_000000401540	detected	4	0.9877963885167328	0.9988	True	True	0	k141_402116	3279	0.55	c_000000401540	k141_402116	4.0
RNODE_5_length_4125_cov_14.53571	k141_402069	plasmid	c_000000401493	detected	5	0.9417041588187922	0.9986	True	True	0	k141_402069	4244	0.37	c_000000401493	k141_402069	6.0
RNODE_62_length_3589_cov_56.75862	k141_401976	plasmid	c_000000401175	detected	5	0.8579338195344913	0.9983	True	False	0	k141_401976	3666	0.6	c_000000401175	k141_401976	5.0
RNODE_65_length_5443_cov_3.51540	k141_401984	plasmid	c_000000401220	detected	7	0.700937771785042	0.9986	True	False	0	k141_401984	5541	0.56	c_000000401220	k141_401984	7.0
RNODE_73_length_2194_cov_7.49125	k141_402005	plasmid	c_000000401352	undetected_genomad	2	0.9600892253356365	0.9984	False	True	0	k141_402005	2313	0.35	c_000000401352	k141_402005	3.0
RNODE_74_length_1811_cov_7.67971	k141_143758	plasmid	c_000000199213	undetected_genomad_plasx	3		0.011	False	False	0	k141_143758	425	0.59	c_000000199213	k141_143758	1.0
RNODE_74_length_1811_cov_7.67971	k141_252500	plasmid	c_000000035852	undetected_genomad_plasx	3		0.0299	False	False	0	k141_252500	391	0.55	c_000000035852	k141_252500	1.0
RNODE_74_length_1811_cov_7.67971	k141_275319	plasmid	c_000000344639	undetected_genomad_plasx	3	0.6869120984505906	0.992	False	False	0	k141_275319	1930	0.58	c_000000344639	k141_275319	3.0
RNODE_74_length_1811_cov_7.67971	k141_28540	plasmid	c_000000109354	undetected_genomad_plasx	3		0.0287	False	False	0	k141_28540	350	0.58	c_000000109354	k141_28540	1.0
RNODE_74_length_1811_cov_7.67971	k141_302971	plasmid	c_000000039013	undetected_genomad_plasx	3		0.0211	False	False	0	k141_302971	390	0.57	c_000000039013	k141_302971	1.0
RNODE_74_length_1811_cov_7.67971	k141_352142	plasmid	c_000000002391	undetected_genomad_plasx	3		0.0466	False	False	0	k141_352142	399	0.56	c_000000002391	k141_352142	2.0
RNODE_74_length_1811_cov_7.67971	k141_359379	plasmid	c_000000254568	undetected_genomad_plasx	3		0.083	False	False	0	k141_359379	378	0.57	c_000000254568	k141_359379	1.0
RNODE_74_length_1811_cov_7.67971	k141_371962	plasmid	c_000000251953	undetected_genomad_plasx	3		0.0958	False	False	0	k141_371962	388	0.59	c_000000251953	k141_371962	2.0
RNODE_74_length_1811_cov_7.67971	k141_388420	plasmid	c_000000365442	undetected_genomad_plasx	3		0.0617	False	False	0	k141_388420	374	0.58	c_000000365442	k141_388420	2.0
RNODE_74_length_1811_cov_7.67971	k141_399148	plasmid	c_000000329475	undetected_genomad_plasx	3	0.2308357478270384	0.0178	False	False	0	k141_399148	388	0.56	c_000000329475	k141_399148	1.0
RNODE_74_length_1811_cov_7.67971	k141_55267	plasmid	c_000000164953	undetected_genomad_plasx	3		0.1464	False	False	0	k141_55267	646	0.58	c_000000164953	k141_55267	2.0
RNODE_74_length_1811_cov_7.67971	k141_76700	plasmid	c_000000044094	undetected_genomad_plasx	3		0.0161	False	False	0	k141_76700	377	0.58	c_000000044094	k141_76700	1.0
RNODE_74_length_1811_cov_7.67971	k141_86635	plasmid	c_000000369191	undetected_genomad_plasx	3		0.0159	False	False	0	k141_86635	363	0.57	c_000000369191	k141_86635	
RNODE_93_length_1501_cov_3.34415	k141_402030	plasmid	c_000000401454	undetected_genomad_plasx	3	0.6869120984505906	0.9214	False	False	0	k141_402030	1620	0.56	c_000000401454	k141_402030	3.0
